Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT,WT22X167.5,WT22X167.5,F,167.5,49.2,22,22,15.9,16,1.03,1,  1/2 ,1.77,1  3/4 ,2.56,3,5.53,1.54,4.5,21.4,2170,234,131,6.63,600,118,75.2,3.49,37.2,438,8.82,0.723,58.9,74.8,59.9,75.8,5  1/2 
WT,WT22X145,WT22X145,F,145,42.6,21.8,21  3/4 ,15.8,15  7/8 ,0.865,  7/8 ,  7/16,1.58,1  9/16,2.36,2 13/16,5.26,1.35,5.02,25.2,1830,196,111,6.54,521,102,65.9,3.49,25.4,275,8.66,0.733,58.4,74.2,59.4,75.2,5  1/2 
WT,WT22X131,WT22X131,F,131,38.5,21.7,21  5/8 ,15.8,15  3/4 ,0.785, 13/16,  7/16,1.42,1  7/16,2.2,2  5/8 ,5.19,1.22,5.57,27.6,1640,176,99.4,6.53,462,90.9,58.6,3.47,18.6,200,8.64,0.731,58.2,74,59.2,75,5  1/2 
WT,WT22X115,WT22X115,F,115,33.9,21.5,21  1/2 ,15.8,15  3/4 ,0.71, 11/16,  3/8 ,1.22,1  1/4 ,2.01,2  7/16,5.17,1.07,6.45,30.3,1440,157,88.6,6.53,398,78.3,50.5,3.43,12.4,139,8.67,0.723,57.8,73.6,58.8,74.6,5  1/2 
WT,WT20X327.5,WT20X327.5,T,327.5,96.4,21.8,21  3/4 ,16.9,16  7/8 ,1.97,2,1,3.54,3  9/16,4.72,4 13/16,5.85,2.85,2.39,11.1,3730,426,234,6.22,1440,271,170,3.86,293,3190,8.38,0.763,59.5,76.4,60.5,77.4,7  1/2 
WT,WT20X296.5,WT20X296.5,T,296.5,87.2,21.5,21  1/2 ,16.7,16  3/4 ,1.79,1 13/16, 15/16,3.23,3  1/4 ,4.41,4  1/2 ,5.66,2.61,2.58,12,3310,379,209,6.16,1260,240,151,3.8,221,2340,8.29,0.762,58.7,75.4,59.7,76.4,7  1/2 
WT,WT20X251.5,WT20X251.5,T,251.5,74,21,21,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.76,2  3/4 ,3.94,4,5.38,2.25,2.98,13.6,2730,314,174,6.07,1020,197,124,3.72,138,1400,8.17,0.76,57.4,73.8,58.4,74.8,7  1/2 
WT,WT20X215.5,WT20X215.5,T,215.5,63.3,20.6,20  5/8 ,16.2,16  1/4 ,1.34,1  5/16, 11/16,2.36,2  3/8 ,3.54,3  5/8 ,5.18,1.95,3.44,15.4,2290,266,148,6.01,843,164,104,3.65,88.2,881,8.09,0.756,56.4,72.6,57.4,73.6,7  1/2 
WT,WT20X198.5,WT20X198.5,T,198.5,58.3,20.5,20  1/2 ,16.1,16  1/8 ,1.22,1  1/4 ,  5/8 ,2.2,2  3/16,3.38,3  1/2 ,5.03,1.81,3.66,16.8,2070,240,134,5.96,771,150,95.7,3.63,70.6,677,8.01,0.76,56.1,72.2,57.1,73.2,7  1/2 
WT,WT20X186,WT20X186,T,186,54.7,20.3,20  3/8 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.05,2  1/16,3.23,3  5/16,4.98,1.7,3.93,17.5,1930,225,126,5.95,709,138,88.3,3.6,57.7,558,8,0.756,55.7,71.8,56.7,72.8,7  1/2 
WT,WT20X181,WT20X181,T,181,53.2,20.3,20  1/4 ,16,16,1.12,1  1/8 ,  9/16,2.01,2,3.19,3  1/4 ,4.91,1.66,3.99,18.1,1870,217,122,5.92,691,135,86.3,3.6,54.2,511,7.96,0.759,55.6,71.6,56.6,72.6,7  1/2 
WT,WT20X162,WT20X162,F,162,47.7,20.1,20  1/8 ,15.9,15  7/8 ,1,1,  1/2 ,1.81,1 13/16,2.99,3  1/16,4.77,1.5,4.4,20.1,1650,192,108,5.88,609,119,76.6,3.57,39.6,362,7.89,0.76,55.1,71,56.1,72,7  1/2 
WT,WT20X148.5,WT20X148.5,F,148.5,43.6,19.9,19  7/8 ,15.8,15  7/8 ,0.93, 15/16,  1/2 ,1.65,1  5/8 ,2.83,2 15/16,4.71,1.38,4.8,21.4,1500,176,98.9,5.87,546,107,69,3.54,30.5,279,7.88,0.756,54.6,70.4,55.6,71.4,7  1/2 
WT,WT20X138.5,WT20X138.5,F,138.5,40.7,19.8,19  7/8 ,15.8,15  7/8 ,0.83, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,4.5,1.29,5.03,23.9,1360,157,88.6,5.78,522,102,65.9,3.58,25.7,218,7.75,0.77,54.4,70.2,55.4,71.2,7  1/2 
WT,WT20X124.5,WT20X124.5,F,124.5,36.7,19.7,19  3/4 ,15.8,15  3/4 ,0.75,  3/4 ,  3/8 ,1.42,1  7/16,2.6,2 11/16,4.41,1.16,5.55,26.3,1210,140,79.4,5.75,463,90.8,58.8,3.55,19,158,7.7,0.77,54.2,70,55.2,71,7  1/2 
WT,WT20X107.5,WT20X107.5,F,107.5,31.8,19.5,19  1/2 ,15.8,15  3/4 ,0.65,  5/8 ,  5/16,1.22,1  1/4 ,2.4,2  1/2 ,4.28,1.01,6.45,30,1030,120,68,5.71,398,77.8,50.5,3.54,12.4,101,7.66,0.771,53.8,69.6,54.8,70.6,7  1/2 
WT,WT20X99.5,WT20X99.5,F,99.5,29.2,19.3,19  3/8 ,15.8,15  3/4 ,0.65,  5/8 ,  5/16,1.07,1  1/16,2.25,2  5/16,4.47,0.929,7.39,29.7,988,117,66.5,5.81,347,68.2,44.1,3.45,9.12,83.5,7.82,0.746,53.4,69.2,54.4,70.2,7  1/2 
WT,WT20X196,WT20X196,T,196,57.8,20.8,20  3/4 ,12.4,12  3/8 ,1.42,1  7/16,  3/4 ,2.52,2  1/2 ,3.7,3 13/16,5.94,2.33,2.45,14.6,2270,275,153,6.27,401,106,64.9,2.64,85.4,796,8.26,0.679,53,65.4,54,66.4,7  1/2 
WT,WT20X165.5,WT20X165.5,T,165.5,48.8,20.4,20  3/8 ,12.2,12  1/8 ,1.22,1  1/4 ,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,5.74,2,2.86,16.7,1880,231,128,6.21,322,85.7,52.9,2.57,52.5,484,8.19,0.674,52,64.2,53,65.2,7  1/2 
WT,WT20X163.5,WT20X163.5,T,163.5,47.9,20.4,20  3/8 ,12.1,12  1/8 ,1.18,1  3/16,  5/8 ,2.13,2  1/8 ,3.31,3  3/8 ,5.66,1.98,2.85,17.3,1840,224,125,6.19,320,85,52.7,2.58,51.4,449,8.13,0.68,51.9,64,52.9,65,7  1/2 
WT,WT20X147,WT20X147,F,147,43.1,20.2,20  1/4 ,12,12,1.06,1  1/16,  9/16,1.93,1 15/16,3.11,3  3/16,5.51,1.8,3.11,19.1,1630,199,111,6.14,281,75,46.7,2.55,38.2,322,8.06,0.681,51.4,63.4,52.4,64.4,7  1/2 
WT,WT20X139,WT20X139,F,139,41,20.1,20  1/8 ,12,12,1.03,1,  1/2 ,1.81,1 13/16,2.99,3  1/16,5.51,1.71,3.31,19.5,1550,191,106,6.14,261,69.9,43.5,2.52,32.4,282,8.08,0.675,51.2,63.2,52.2,64.2,7  1/2 
WT,WT20X132,WT20X132,F,132,38.7,20,20,11.9,11  7/8 ,0.96, 15/16,  1/2 ,1.73,1  3/4 ,2.91,3,5.41,1.63,3.45,20.8,1450,178,99.2,6.11,246,66,41.3,2.52,27.9,233,8.02,0.679,50.9,62.8,51.9,63.8,7  1/2 
WT,WT20X117.5,WT20X117.5,F,117.5,34.6,19.8,19  7/8 ,11.9,11  7/8 ,0.83, 13/16,  7/16,1.58,1  9/16,2.76,2  7/8 ,5.17,1.45,3.77,23.9,1260,153,85.7,6.04,222,59,37.3,2.54,20.6,156,7.88,0.691,50.5,62.4,51.5,63.4,7  1/2 
WT,WT20X105.5,WT20X105.5,F,105.5,31.1,19.7,19  5/8 ,11.8,11  3/4 ,0.75,  3/4 ,  3/8 ,1.42,1  7/16,2.6,2 11/16,5.08,1.31,4.17,26.3,1120,137,76.7,6.01,195,52.1,33,2.51,15.2,113,7.84,0.69,50.2,62,51.2,63,7  1/2 
WT,WT20X91.5,WT20X91.5,F,91.5,26.7,19.5,19  1/2 ,11.8,11  3/4 ,0.65,  5/8 ,  5/16,1.2,1  3/16,2.38,2  1/2 ,4.97,1.13,4.92,30,955,117,65.7,5.98,165,44,28,2.49,9.65,71.2,7.81,0.688,49.8,61.6,50.8,62.6,7  1/2 
WT,WT20X83.5,WT20X83.5,F,83.5,24.5,19.3,19  1/4 ,11.8,11  3/4 ,0.65,  5/8 ,  5/16,1.03,1,2.21,2  5/16,5.19,1.1,5.76,29.7,899,115,63.7,6.05,141,37.8,23.9,2.4,6.99,62.9,8.01,0.659,49.4,61.2,50.4,62.2,7  1/2 
WT,WT20X74.5,WT20X74.5,F,74.5,21.9,19.1,19  1/8 ,11.8,11  3/4 ,0.63,  5/8 ,  5/16,0.83, 13/16,2.01,2  1/8 ,5.45,1.72,7.11,30.3,815,108,59.7,6.1,114,30.9,19.4,2.29,4.66,51.9,8.23,0.626,49,60.8,50,61.8,7  1/2 
WT,WT18X462.5,WT18X462.5,T,462.5,136,21.6,21  5/8 ,18.6,18  5/8 ,3.02,3,1  1/2 ,4.53,4  1/2 ,5.28,5  3/8 ,6.36,3.66,2.05,7.15,5130,617,337,6.14,2470,431,266,4.26,707,9680,8.52,0.769,61.2,79.8,61.8,80.4,7  1/2 
WT,WT18X426.5,WT18X426.5,T,426.5,126,21.6,21  5/8 ,18.2,18  1/4 ,2.52,2  1/2 ,1  1/4 ,4.53,4  1/2 ,5.28,5  3/8 ,5.95,3.46,2.01,8.57,4480,533,286,5.96,2300,403,253,4.27,615,7100,8.21,0.799,60.8,79,61.4,79.6,7  1/2 
WT,WT18X401,WT18X401,T,401,118,21.3,21  1/4 ,18,18,2.38,2  3/8 ,1  3/16,4.29,4  5/16,5.04,5  1/8 ,5.8,3.28,2.1,8.95,4110,491,265,5.9,2100,372,233,4.22,519,5830,8.12,0.797,60,78,60.6,78.6,7  1/2 
WT,WT18X361.5,WT18X361.5,T,361.5,107,20.9,20  7/8 ,17.8,17  3/4 ,2.17,2  3/16,1  1/8 ,3.9,3  7/8 ,4.65,4 11/16,5.55,3.01,2.28,9.63,3610,434,235,5.81,1850,329,208,4.16,390,4250,8,0.798,59,76.8,59.6,77.4,7  1/2 
WT,WT18X326,WT18X326,T,326,96.2,20.5,20  1/2 ,17.6,17  5/8 ,1.97,2,1,3.54,3  9/16,4.49,4 13/16,5.35,2.73,2.48,10.4,3160,383,208,5.74,1610,290,184,4.1,295,3070,7.91,0.795,57.6,75.2,58.6,76.2,7  1/2 
WT,WT18X264.5,WT18X264.5,T,264.5,77.8,19.9,19  7/8 ,17.2,17  1/4 ,1.61,1  5/8 , 13/16,2.91,2 15/16,3.86,4  3/16,4.96,2.26,2.96,12.4,2440,298,164,5.6,1240,227,145,4,163,1600,7.72,0.794,56,73.2,57,74.2,7  1/2 
WT,WT18X243.5,WT18X243.5,T,243.5,71.7,19.7,19  5/8 ,17.1,17  1/8 ,1.5,1  1/2 ,  3/4 ,2.68,2 11/16,3.63,4,4.84,2.1,3.19,13.1,2220,272,150,5.57,1120,206,131,3.96,128,1250,7.68,0.792,55.5,72.6,56.5,73.6,7  1/2 
WT,WT18X220.5,WT18X220.5,T,220.5,64.9,19.4,19  3/8 ,17,17,1.36,1  3/8 , 11/16,2.44,2  7/16,3.39,3  3/4 ,4.69,1.91,3.48,14.3,1980,242,134,5.52,997,184,117,3.92,96.6,914,7.6,0.792,54.8,71.8,55.8,72.8,7  1/2 
WT,WT18X197.5,WT18X197.5,T,197.5,58.1,19.2,19  1/4 ,16.8,16  7/8 ,1.22,1  1/4 ,  5/8 ,2.2,2  3/16,3.15,3  7/16,4.53,1.73,3.83,15.7,1740,213,119,5.47,877,162,104,3.88,70.7,652,7.54,0.792,54.2,71,55.2,72,7  1/2 
WT,WT18X180.5,WT18X180.5,T,180.5,53,19,19,16.7,16  3/4 ,1.12,1  1/8 ,  9/16,2.01,2,2.96,3  5/16,4.42,1.59,4.16,17,1570,192,107,5.43,786,146,94,3.85,54.1,491,7.49,0.792,53.7,70.4,54.7,71.4,7  1/2 
WT,WT18X165,WT18X165,F,165,48.4,18.8,18  7/8 ,16.6,16  5/8 ,1.02,1,  1/2 ,1.85,1  7/8 ,2.8,3  1/8 ,4.3,1.46,4.49,18.4,1410,173,97,5.39,711,132,85.5,3.83,42,372,7.43,0.793,53.2,69.8,54.2,70.8,7  1/2 
WT,WT18X151,WT18X151,F,151,44.5,18.7,18  5/8 ,16.7,16  5/8 ,0.945, 15/16,  1/2 ,1.68,1 11/16,2.63,3,4.22,1.33,4.96,19.8,1280,158,88.8,5.37,648,120,77.8,3.82,32.1,285,7.41,0.792,53.1,69.8,54.1,70.8,7  1/2 
WT,WT18X141,WT18X141,F,141,41.5,18.6,18  1/2 ,16.6,16  5/8 ,0.885,  7/8 ,  7/16,1.57,1  9/16,2.52,2  7/8 ,4.16,1.25,5.29,21,1190,146,82.6,5.36,599,112,72.2,3.8,26.3,231,7.38,0.791,52.8,69.4,53.8,70.4,7  1/2 
WT,WT18X131,WT18X131,F,131,38.5,18.4,18  3/8 ,16.6,16  1/2 ,0.84, 13/16,  7/16,1.44,1  7/16,2.39,2  3/4 ,4.14,1.16,5.75,21.9,1110,137,77.5,5.36,545,102,65.8,3.76,20.8,185,7.39,0.785,52.4,69,53.4,70,7  1/2 
WT,WT18X123.5,WT18X123.5,F,123.5,36.3,18.3,18  3/8 ,16.5,16  1/2 ,0.8, 13/16,  7/16,1.35,1  3/8 ,2.3,2  5/8 ,4.12,1.1,6.11,22.9,1040,129,73.3,5.36,507,94.8,61.4,3.74,17.3,155,7.39,0.783,52.1,68.6,53.1,69.6,7  1/2 
WT,WT18X115.5,WT18X115.5,F,115.5,34.1,18.2,18  1/4 ,16.5,16  1/2 ,0.76,  3/4 ,  3/8 ,1.26,1  1/4 ,2.21,2  9/16,4.1,1.03,6.54,23.9,978,122,69.1,5.36,470,88,57,3.71,14.3,129,7.39,0.78,51.9,68.4,52.9,69.4,7  1/2 
WT,WT18X128,WT18X128,F,128,37.6,18.7,18  3/4 ,12.2,12  1/4 ,0.96, 15/16,  1/2 ,1.73,1  3/4 ,2.48,2 15/16,4.92,1.54,3.53,19.5,1210,156,87.4,5.66,264,68.5,43.2,2.65,26.4,205,7.45,0.703,48.6,60.8,49.6,61.8,5  1/2 
WT,WT18X116,WT18X116,F,116,34,18.6,18  1/2 ,12.1,12  1/8 ,0.87,  7/8 ,  7/16,1.57,1  9/16,2.32,2 13/16,4.82,1.4,3.86,21.4,1080,140,78.5,5.63,234,60.9,38.6,2.62,19.7,151,7.4,0.703,48.3,60.4,49.3,61.4,5  1/2 
WT,WT18X105,WT18X105,F,105,30.9,18.3,18  3/8 ,12.2,12  1/8 ,0.83, 13/16,  7/16,1.36,1  3/8 ,2.11,2  5/8 ,4.87,1.27,4.48,22,985,131,73.1,5.65,206,53.4,33.8,2.58,13.9,119,7.49,0.687,47.8,60,48.8,61,5  1/2 
WT,WT18X97,WT18X97,F,97,28.5,18.2,18  1/4 ,12.1,12  1/8 ,0.765,  3/4 ,  3/8 ,1.26,1  1/4 ,2.01,2  1/2 ,4.8,1.18,4.81,23.8,901,120,67,5.62,187,48.8,30.9,2.56,11.1,92.7,7.45,0.688,47.5,59.6,48.5,60.6,5  1/2 
WT,WT18X91,WT18X91,F,91,26.8,18.2,18  1/8 ,12.1,12  1/8 ,0.725,  3/4 ,  3/8 ,1.18,1  3/16,1.93,2  3/8 ,4.77,1.11,5.12,25.1,845,113,63.1,5.62,174,45.3,28.8,2.55,9.2,77.6,7.45,0.685,47.5,59.6,48.5,60.6,5  1/2 
WT,WT18X85,WT18X85,F,85,25,18.1,18  1/8 ,12,12,0.68, 11/16,  3/8 ,1.1,1  1/8 ,1.85,2  3/8 ,4.73,1.04,5.47,26.6,786,105,58.9,5.61,160,41.8,26.6,2.53,7.51,63.2,7.44,0.684,47.2,59.2,48.2,60.2,5  1/2 
WT,WT18X80,WT18X80,F,80,23.5,18,18,12,12,0.65,  5/8 ,  5/16,1.02,1,1.77,2  1/4 ,4.74,0.98,5.88,27.7,740,100,55.8,5.61,147,38.6,24.6,2.5,6.17,53.6,7.46,0.678,47,59,48,60,5  1/2 
WT,WT18X75,WT18X75,F,75,22.1,17.9,17  7/8 ,12,12,0.625,  5/8 ,  5/16,0.94, 15/16,1.69,2  3/16,4.78,0.923,6.37,28.6,698,95.5,53.1,5.62,135,35.4,22.5,2.47,5.04,46,7.5,0.67,46.8,58.8,47.8,59.8,5  1/2 
WT,WT18X67.5,WT18X67.5,F,67.5,19.9,17.8,17  3/4 ,12,12,0.6,  5/8 ,  5/16,0.79, 13/16,1.54,2  1/16,4.96,1.23,7.56,29.7,637,90.1,49.7,5.66,113,29.8,18.9,2.38,3.48,37.3,7.65,0.644,46.6,58.6,47.6,59.6,5  1/2 
WT,WT16.5X193.5,WT16.5X193.5,T,193.5,57,18,18,16.2,16  1/4 ,1.26,1  1/4 ,  5/8 ,2.28,2  1/4 ,3.07,3  9/16,4.27,1.76,3.55,14.3,1460,193,107,5.07,810,156,100,3.77,73.9,615,7.05,0.803,51.2,67.4,52.2,68.4,5  1/2 
WT,WT16.5X177,WT16.5X177,T,177,52.1,17.8,17  3/4 ,16.1,16  1/8 ,1.16,1  3/16,  5/8 ,2.09,2  1/16,2.88,3  3/8 ,4.15,1.62,3.85,15.3,1320,174,96.8,5.03,729,141,90.6,3.74,57.1,468,7,0.803,50.7,66.8,51.7,67.8,5  1/2 
WT,WT16.5X159,WT16.5X159,F,159,46.8,17.6,17  5/8 ,16,16,1.04,1  1/16,  9/16,1.89,1  7/8 ,2.68,3  3/16,4.02,1.46,4.23,16.9,1160,154,85.8,4.99,645,125,80.7,3.71,42.1,335,6.93,0.804,50.2,66.2,51.2,67.2,5  1/2 
WT,WT16.5X145.5,WT16.5X145.5,F,145.5,42.8,17.4,17  3/8 ,15.9,15  7/8 ,0.96, 15/16,  1/2 ,1.73,1  3/4 ,2.52,2 15/16,3.93,1.35,4.6,18.1,1060,140,78.3,4.96,581,113,73.1,3.68,32.5,256,6.9,0.802,49.7,65.6,50.7,66.6,5  1/2 
WT,WT16.5X131.5,WT16.5X131.5,F,131.5,38.7,17.3,17  1/4 ,15.8,15  3/4 ,0.87,  7/8 ,  7/16,1.57,1  9/16,2.36,2 13/16,3.83,1.23,5.03,19.9,943,125,70.2,4.93,517,101,65.5,3.65,24.3,188,6.86,0.802,49.4,65.2,50.4,66.2,5  1/2 
WT,WT16.5X120.5,WT16.5X120.5,F,120.5,35.6,17.1,17  1/8 ,15.9,15  7/8 ,0.83, 13/16,  7/16,1.4,1  3/8 ,2.19,2 11/16,3.84,1.12,5.66,20.6,872,116,65.8,4.96,466,90.8,58.8,3.62,18,146,6.9,0.792,49.1,65,50.1,66,5  1/2 
WT,WT16.5X110.5,WT16.5X110.5,F,110.5,32.6,17,17,15.8,15  3/4 ,0.775,  3/4 ,  3/8 ,1.28,1  1/4 ,2.06,2  1/2 ,3.81,1.03,6.2,21.9,799,107,60.8,4.95,420,82.1,53.2,3.59,13.9,113,6.89,0.788,48.8,64.6,49.8,65.6,5  1/2 
WT,WT16.5X100.5,WT16.5X100.5,F,100.5,29.7,16.8,16  7/8 ,15.7,15  3/4 ,0.715, 11/16,  3/8 ,1.15,1  1/8 ,1.94,2  7/16,3.77,0.94,6.85,23.5,725,97.8,55.5,4.95,375,73.3,47.6,3.56,10.4,84.9,6.88,0.784,48.3,64,49.3,65,5  1/2 
WT,WT16.5X84.5,WT16.5X84.5,F,84.5,24.7,16.9,16  7/8 ,11.5,11  1/2 ,0.67, 11/16,  3/8 ,1.22,1  1/4 ,1.92,2  7/16,4.21,1.08,4.71,25.2,649,90.8,51.1,5.12,155,42.1,27,2.5,8.81,55.4,6.74,0.715,44.3,55.8,45.3,56.8,5  1/2 
WT,WT16.5X76,WT16.5X76,F,76,22.5,16.7,16  3/4 ,11.6,11  5/8 ,0.635,  5/8 ,  5/16,1.06,1  1/16,1.76,2  5/16,4.26,0.967,5.48,26.3,592,84.5,47.4,5.14,136,36.9,23.6,2.47,6.16,43,6.82,0.7,44,55.6,45,56.6,5  1/2 
WT,WT16.5X70.5,WT16.5X70.5,F,70.5,20.7,16.7,16  5/8 ,11.5,11  1/2 ,0.605,  5/8 ,  5/16,0.96, 15/16,1.66,2  3/16,4.29,0.901,6.01,27.6,552,79.8,44.7,5.15,123,33.4,21.3,2.43,4.84,35.4,6.86,0.691,43.9,55.4,44.9,56.4,5  1/2 
WT,WT16.5X65,WT16.5X65,F,65,19.1,16.5,16  1/2 ,11.5,11  1/2 ,0.58,  9/16,  5/16,0.855,  7/8 ,1.56,2  1/8 ,4.36,0.832,6.73,28.4,513,75.6,42.1,5.18,109,29.7,18.9,2.38,3.67,29.3,6.93,0.677,43.5,55,44.5,56,5  1/2 
WT,WT16.5X59,WT16.5X59,F,59,17.4,16.4,16  3/8 ,11.5,11  1/2 ,0.55,  9/16,  5/16,0.74,  3/4 ,1.44,2,4.47,0.862,7.76,29.8,469,70.8,39.2,5.2,93.5,25.6,16.3,2.32,2.64,23.4,7.02,0.659,43.3,54.8,44.3,55.8,5  1/2 
WT,WT15X195.5,WT15X195.5,T,195.5,57.6,16.6,16  5/8 ,15.6,15  5/8 ,1.36,1  3/8 , 11/16,2.44,2  7/16,3.23,3  3/4 ,4,1.85,3.19,12.2,1220,177,96.9,4.61,774,155,99.2,3.67,86.3,636,6.51,0.817,47.8,63.4,48.8,64.4,5  1/2 
WT,WT15X178.5,WT15X178.5,T,178.5,52.5,16.4,16  3/8 ,15.5,15  1/2 ,1.24,1  1/4 ,  5/8 ,2.24,2  1/4 ,3.03,3  1/2 ,3.87,1.7,3.45,13.2,1090,159,87.2,4.56,693,140,89.6,3.64,66.6,478,6.45,0.818,47.3,62.8,48.3,63.8,5  1/2 
WT,WT15X163,WT15X163,T,163,48,16.2,16  1/4 ,15.4,15  3/8 ,1.14,1  1/8 ,  9/16,2.05,2  1/16,2.84,3  5/16,3.76,1.56,3.75,14.2,981,143,78.8,4.52,622,126,81,3.6,51.2,361,6.4,0.817,46.8,62.2,47.8,63.2,5  1/2 
WT,WT15X146,WT15X146,F,146,43,16,16,15.3,15  1/4 ,1.02,1,  1/2 ,1.85,1  7/8 ,2.64,3  1/8 ,3.62,1.41,4.12,15.7,861,125,69.6,4.48,549,111,71.9,3.58,37.5,257,6.33,0.819,46.3,61.6,47.3,62.6,5  1/2 
WT,WT15X130.5,WT15X130.5,F,130.5,38.5,15.8,15  3/4 ,15.2,15  1/8 ,0.93, 15/16,  1/2 ,1.65,1  5/8 ,2.44,2 15/16,3.54,1.27,4.59,17,765,112,62.4,4.46,480,97.9,63.3,3.53,26.9,184,6.3,0.815,45.8,61,46.8,62,5  1/2 
WT,WT15X117.5,WT15X117.5,F,117.5,34.7,15.7,15  5/8 ,15.1,15,0.83, 13/16,  7/16,1.5,1  1/2 ,2.29,2  3/4 ,3.41,1.15,5.02,18.9,674,98.2,55.1,4.41,427,87.5,56.8,3.51,20.1,133,6.24,0.818,45.5,60.6,46.5,61.6,5  1/2 
WT,WT15X105.5,WT15X105.5,F,105.5,31.1,15.5,15  1/2 ,15.1,15  1/8 ,0.775,  3/4 ,  3/8 ,1.32,1  5/16,2.1,2  9/16,3.39,1.03,5.74,20,610,89.5,50.5,4.43,378,77.2,50.1,3.49,14.1,96.4,6.27,0.809,45.1,60.2,46.1,61.2,5  1/2 
WT,WT15X95.5,WT15X95.5,F,95.5,28,15.3,15  3/8 ,15,15,0.71, 11/16,  3/8 ,1.19,1  3/16,1.97,2  1/2 ,3.34,0.935,6.35,21.5,549,80.8,45.7,4.42,336,68.9,44.7,3.46,10.5,71.2,6.25,0.807,44.6,59.6,45.6,60.6,5  1/2 
WT,WT15X86.5,WT15X86.5,F,86.5,25.4,15.2,15  1/4 ,15,15,0.655,  5/8 ,  5/16,1.07,1  1/16,1.85,2  5/16,3.31,0.851,7.04,23.2,497,73.5,41.7,4.42,299,61.4,39.9,3.42,7.78,53,6.24,0.802,44.4,59.4,45.4,60.4,5  1/2 
WT,WT15X74,WT15X74,F,74,21.8,15.3,15  3/8 ,10.5,10  1/2 ,0.65,  5/8 ,  5/16,1.18,1  3/16,1.83,2  1/2 ,3.84,1.04,4.44,23.5,466,72.2,40.6,4.63,114,33.9,21.7,2.28,7.24,37.6,6.1,0.716,40.1,50.6,41.1,51.6,5  1/2 
WT,WT15X66,WT15X66,F,66,19.5,15.2,15  1/8 ,10.5,10  1/2 ,0.615,  5/8 ,  5/16,1,1,1.65,2  1/4 ,3.9,0.921,5.27,24.7,421,66.8,37.4,4.66,98,29.2,18.6,2.25,4.85,28.5,6.19,0.698,39.9,50.4,40.9,51.4,5  1/2 
WT,WT15X62,WT15X62,F,62,18.2,15.1,15  1/8 ,10.5,10  1/2 ,0.585,  9/16,  5/16,0.93, 15/16,1.58,2  1/4 ,3.9,0.867,5.65,25.8,396,63.1,35.3,4.66,90.4,27,17.2,2.23,3.98,23.9,6.2,0.694,39.7,50.2,40.7,51.2,5  1/2 
WT,WT15X58,WT15X58,F,58,17.1,15,15,10.5,10  1/2 ,0.565,  9/16,  5/16,0.85,  7/8 ,1.5,2  1/8 ,3.94,0.815,6.17,26.5,373,60.4,33.7,4.67,82.1,24.6,15.6,2.19,3.21,20.5,6.24,0.683,39.5,50,40.5,51,5  1/2 
