Type,EDI_Std_Nomenclature,AISC_name,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,y,yp,bf/2tf,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi
WT,WT9X30,WT9X30,F,30,8.82,9.12,9  1/8 ,7.56,7  1/2 ,0.415,  7/16,  1/4 ,0.695, 11/16,1.1,1  3/8 ,2.16,0.583,5.44,22,64.7,16.5,9.29,2.71,25,10.3,6.63,1.68,1.08,2.35,3.67,0.756,25.3,32.8,25.8,33.4,3  1/2 
WT,WT9X27.5,WT9X27.5,F,27.5,8.1,9.06,9,7.53,7  1/2 ,0.39,  3/8 ,  3/16,0.63,  5/8 ,1.03,1  5/16,2.16,0.538,5.98,23.2,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0.83,1.84,3.68,0.749,25.1,32.7,25.7,33.2,3  1/2 
WT,WT9X25,WT9X25,F,25,7.34,9,9,7.5,7  1/2 ,0.355,  3/8 ,  3/16,0.57,  9/16,0.972,1  1/4 ,2.12,0.489,6.57,25.4,53.5,13.8,7.79,2.7,20,8.28,5.35,1.65,0.619,1.36,3.66,0.748,25,32.5,25.5,33,3  1/2 
WT,WT9X23,WT9X23,F,23,6.77,9.03,9,6.06,6,0.36,  3/8 ,  3/16,0.605,  5/8 ,1.01,1  1/4 ,2.33,0.558,5.01,25.1,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0.609,1.2,3.67,0.695,23.6,29.7,24.1,30.2,3  1/2 
WT,WT9X20,WT9X20,F,20,5.88,8.95,9,6.02,6,0.315,  5/16,  3/16,0.525,  1/2 ,0.927,1  3/16,2.29,0.489,5.73,28.4,44.8,12,6.73,2.76,9.55,4.97,3.17,1.27,0.404,0.788,3.65,0.693,23.4,29.4,23.9,29.9,3  1/2 
WT,WT9X17.5,WT9X17.5,F,17.5,5.15,8.85,8  7/8 ,6,6,0.3,  5/16,  3/16,0.425,  7/16,0.827,1  1/8 ,2.39,0.45,7.06,29.5,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0.252,0.598,3.74,0.662,23.2,29.2,23.7,29.7,3  1/2 
WT,WT8X50,WT8X50,F,50,14.7,8.49,8  1/2 ,10.4,10  3/8 ,0.585,  9/16,  5/16,0.985,1,1.39,1  7/8 ,1.76,0.706,5.29,14.5,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,3.85,10.4,3.63,0.878,26.7,37.1,27.4,37.8,5  1/2 
WT,WT8X44.5,WT8X44.5,F,44.5,13.1,8.38,8  3/8 ,10.4,10  3/8 ,0.525,  1/2 ,  1/4 ,0.875,  7/8 ,1.28,1  3/4 ,1.7,0.631,5.92,16,67.2,18.1,10.1,2.27,81.3,24,15.7,2.49,2.72,7.19,3.6,0.877,26.5,36.9,27.2,37.6,5  1/2 
WT,WT8X38.5,WT8X38.5,F,38.5,11.3,8.26,8  1/4 ,10.3,10  1/4 ,0.455,  7/16,  1/4 ,0.76,  3/4 ,1.16,1  5/8 ,1.63,0.549,6.77,18.2,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,1.78,4.61,3.57,0.877,26.1,36.4,26.8,37.1,5  1/2 
WT,WT8X33.5,WT8X33.5,F,33.5,9.81,8.17,8  1/8 ,10.2,10  1/4 ,0.395,  3/8 ,  3/16,0.665, 11/16,1.07,1  9/16,1.56,0.481,7.7,20.7,48.6,13,7.36,2.22,59.5,17.7,11.6,2.46,1.19,3.01,3.54,0.879,25.9,36.1,26.5,36.7,5  1/2 
WT,WT8X28.5,WT8X28.5,F,28.5,8.39,8.22,8  1/4 ,7.12,7  1/8 ,0.43,  7/16,  1/4 ,0.715, 11/16,1.12,1  3/8 ,1.94,0.589,4.98,19.1,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.6,1.1,1.99,3.3,0.77,23,30.2,23.6,30.7,3  1/2 
WT,WT8X25,WT8X25,F,25,7.37,8.13,8  1/8 ,7.07,7  1/8 ,0.38,  3/8 ,  3/16,0.63,  5/8 ,1.03,1  5/16,1.89,0.521,5.61,21.4,42.3,12,6.78,2.4,18.6,8.15,5.26,1.59,0.76,1.34,3.28,0.769,22.8,29.9,23.3,30.4,3  1/2 
WT,WT8X22.5,WT8X22.5,F,22.5,6.63,8.07,8  1/8 ,7.04,7,0.345,  3/8 ,  3/16,0.565,  9/16,0.967,1  1/4 ,1.86,0.471,6.23,23.4,37.8,10.8,6.1,2.39,16.4,7.22,4.67,1.57,0.555,0.974,3.27,0.767,22.7,29.7,23.2,30.2,3  1/2 
WT,WT8X20,WT8X20,F,20,5.89,8.01,8,7,7,0.305,  5/16,  3/16,0.505,  1/2 ,0.907,1  3/16,1.81,0.421,6.93,26.3,33.1,9.43,5.35,2.37,14.4,6.36,4.12,1.56,0.396,0.673,3.24,0.769,22.5,29.5,23,30,3  1/2 
WT,WT8X18,WT8X18,F,18,5.29,7.93,7  7/8 ,6.99,7,0.295,  5/16,  3/16,0.43,  7/16,0.832,1  1/8 ,1.88,0.378,8.12,26.9,30.6,8.93,5.05,2.41,12.2,5.42,3.5,1.52,0.272,0.516,3.3,0.745,22.3,29.3,22.9,29.8,3  1/2 
WT,WT8X15.5,WT8X15.5,F,15.5,4.56,7.94,8,5.53,5  1/2 ,0.275,  1/4 ,  1/8 ,0.44,  7/16,0.842,1  1/8 ,2.02,0.413,6.28,28.9,27.5,8.27,4.64,2.45,6.2,3.51,2.24,1.17,0.23,0.366,3.26,0.695,20.9,26.4,21.4,26.9,3  1/2 
WT,WT8X13,WT8X13,F,13,3.84,7.85,7  7/8 ,5.5,5  1/2 ,0.25,  1/4 ,  1/8 ,0.345,  3/8 ,0.747,1  1/16,2.09,0.372,7.97,31.4,23.5,7.36,4.09,2.47,4.79,2.73,1.74,1.12,0.13,0.243,3.32,0.667,20.7,26.2,21.2,26.7,3  1/2 
WT,WT7X436.5,WT7X436.5,T,436.5,129,11.8,11  3/4 ,18.8,18  3/4 ,3.94,3 15/16,2,5.51,5  1/2 ,6.1,6  3/16,3.88,3.43,1.71,2.99,1040,281,131,2.84,3080,511,328,4.89,1110,8980,5.76,0.962,41.9,60.7,42.4,61.2,8  1/2 
WT,WT7X404,WT7X404,T,404,119,11.4,11  3/8 ,18.6,18  5/8 ,3.74,3  3/4 ,1  7/8 ,5.12,5  1/8 ,5.71,5  3/4 ,3.69,3.2,1.82,3.05,898,249,116,2.75,2770,465,298,4.82,898,7000,5.67,0.96,40.9,59.5,41.4,60,8  1/2 
WT,WT7X365,WT7X365,T,365,107,11.2,11  1/4 ,17.9,17  7/8 ,3.07,3  1/16,1  9/16,4.91,4 15/16,5.51,6  3/16,3.47,3,1.82,3.65,739,211,95.4,2.62,2360,408,264,4.69,714,5250,5.47,0.966,39.3,57.2,40.3,58.2,7  1/2 
WT,WT7X332.5,WT7X332.5,T,332.5,97.8,10.8,10  7/8 ,17.7,17  5/8 ,2.83,2 13/16,1  7/16,4.52,4  1/2 ,5.12,5 13/16,3.25,2.77,1.95,3.82,622,182,82.1,2.52,2080,365,236,4.62,555,3920,5.35,0.966,38.3,56,39.3,57,7  1/2 
WT,WT7X302.5,WT7X302.5,T,302.5,89,10.5,10  1/2 ,17.4,17  3/8 ,2.6,2  5/8 ,1  5/16,4.16,4  3/16,4.76,5  7/16,3.05,2.55,2.09,4.04,524,157,70.6,2.43,1840,326,211,4.55,430,2930,5.24,0.966,37.4,54.8,38.4,55.8,7  1/2 
WT,WT7X275,WT7X275,T,275,80.9,10.1,10  1/8 ,17.2,17  1/4 ,2.38,2  3/8 ,1  3/16,3.82,3 13/16,4.42,5  1/8 ,2.85,2.35,2.25,4.24,442,136,60.9,2.34,1630,292,189,4.49,331,2180,5.15,0.966,36.4,53.6,37.4,54.6,7  1/2 
WT,WT7X250,WT7X250,T,250,73.5,9.8,9  3/4 ,17,17,2.19,2  3/16,1  1/8 ,3.5,3  1/2 ,4.1,4 13/16,2.67,2.16,2.43,4.47,375,117,52.7,2.26,1440,261,169,4.43,254,1620,5.06,0.967,35.6,52.6,36.6,53.6,7  1/2 
WT,WT7X227.5,WT7X227.5,T,227.5,66.9,9.51,9  1/2 ,16.8,16  7/8 ,2.02,2,1,3.21,3  3/16,3.81,4  1/2 ,2.51,1.99,2.62,4.71,321,102,45.9,2.19,1280,234,152,4.38,196,1210,4.98,0.967,34.8,51.6,35.8,52.6,7  1/2 
WT,WT7X213,WT7X213,T,213,62.7,9.34,9  3/8 ,16.7,16  3/4 ,1.88,1  7/8 , 15/16,3.04,3  1/16,3.63,4  5/16,2.4,1.88,2.75,4.97,287,91.7,41.4,2.14,1180,217,141,4.34,164,991,4.92,0.968,34.4,51.1,35.4,52.1,7  1/2 
WT,WT7X199,WT7X199,T,199,58.4,9.15,9  1/8 ,16.6,16  5/8 ,1.77,1  3/4 ,  7/8 ,2.85,2  7/8 ,3.44,4  1/8 ,2.3,1.76,2.92,5.17,257,82.9,37.6,2.1,1090,201,131,4.31,135,801,4.87,0.968,33.9,50.5,34.9,51.5,7  1/2 
WT,WT7X185,WT7X185,T,185,54.4,8.96,9,16.5,16  1/2 ,1.66,1 11/16, 13/16,2.66,2 11/16,3.26,3 15/16,2.19,1.65,3.1,5.4,229,74.4,33.9,2.05,994,185,121,4.27,110,640,4.82,0.968,33.4,49.9,34.4,50.9,7  1/2 
WT,WT7X171,WT7X171,T,171,50.3,8.77,8  3/4 ,16.4,16  3/8 ,1.54,1  9/16, 13/16,2.47,2  1/2 ,3.07,3  3/4 ,2.09,1.54,3.31,5.69,203,66.2,30.4,2.01,903,169,110,4.24,88.3,502,4.77,0.968,32.9,49.3,33.9,50.3,7  1/2 
WT,WT7X155.5,WT7X155.5,T,155.5,45.7,8.56,8  1/2 ,16.2,16  1/4 ,1.41,1  7/16,  3/4 ,2.26,2  1/4 ,2.86,3  9/16,1.97,1.41,3.59,6.07,176,57.7,26.7,1.96,807,152,99.4,4.2,67.5,375,4.71,0.969,32.3,48.5,33.3,49.5,7  1/2 
WT,WT7X141.5,WT7X141.5,T,141.5,41.6,8.37,8  3/8 ,16.1,16  1/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,3  3/8 ,1.86,1.29,3.89,6.49,153,50.4,23.5,1.92,722,137,89.7,4.17,51.8,281,4.66,0.969,31.8,47.9,32.8,48.9,7  1/2 
WT,WT7X128.5,WT7X128.5,F,128.5,37.8,8.19,8  1/4 ,16,16,1.18,1  3/16,  5/8 ,1.89,1  7/8 ,2.49,3  3/16,1.75,1.18,4.23,6.94,133,43.9,20.7,1.88,645,123,80.7,4.13,39.3,209,4.61,0.969,31.4,47.4,32.4,48.4,7  1/2 
WT,WT7X116.5,WT7X116.5,F,116.5,34.2,8.02,8,15.9,15  7/8 ,1.07,1  1/16,  9/16,1.72,1  3/4 ,2.32,3,1.65,1.08,4.62,7.5,116,38.2,18.2,1.84,576,110,72.5,4.1,29.6,154,4.57,0.97,30.9,46.8,31.9,47.8,7  1/2 
WT,WT7X105.5,WT7X105.5,F,105.5,31,7.86,7  7/8 ,15.8,15  3/4 ,0.98,1,  1/2 ,1.56,1  9/16,2.16,2  7/8 ,1.57,0.98,5.06,8.02,102,33.4,16.2,1.81,513,98.9,65,4.07,22.2,113,4.52,0.97,30.5,46.3,31.5,47.3,7  1/2 
WT,WT7X96.5,WT7X96.5,F,96.5,28.4,7.74,7  3/4 ,15.7,15  3/4 ,0.89,  7/8 ,  7/16,1.44,1  7/16,2.04,2  3/4 ,1.49,0.903,5.45,8.7,89.8,29.4,14.4,1.78,466,90.1,59.3,4.05,17.3,87.2,4.49,0.971,30.2,45.9,31.2,46.9,7  1/2 
WT,WT7X88,WT7X88,F,88,25.9,7.61,7  5/8 ,15.7,15  5/8 ,0.83, 13/16,  7/16,1.31,1  5/16,1.91,2  5/8 ,1.43,0.827,5.97,9.17,80.5,26.3,13,1.76,419,81.3,53.5,4.02,13.2,65.2,4.46,0.97,29.9,45.6,30.9,46.6,7  1/2 
WT,WT7X79.5,WT7X79.5,F,79.5,23.4,7.49,7  1/2 ,15.6,15  5/8 ,0.745,  3/4 ,  3/8 ,1.19,1  3/16,1.79,2  1/2 ,1.35,0.751,6.54,10.1,70.2,22.8,11.4,1.73,374,73,48.1,4,9.84,47.9,4.43,0.971,29.6,45.2,30.6,46.2,7  1/2 
WT,WT7X72.5,WT7X72.5,F,72.5,21.3,7.39,7  3/8 ,15.5,15  1/2 ,0.68, 11/16,  3/8 ,1.09,1  1/16,1.69,2  3/8 ,1.29,0.688,7.11,10.9,62.5,20.2,10.2,1.71,338,66.2,43.7,3.98,7.56,36.3,4.4,0.971,29.3,44.8,30.3,45.8,7  1/2 
WT,WT7X66,WT7X66,F,66,19.4,7.33,7  3/8 ,14.7,14  3/4 ,0.645,  5/8 ,  5/16,1.03,1,1.63,2  5/16,1.29,0.658,7.15,11.4,57.8,18.6,9.57,1.73,274,56.5,37.2,3.76,6.13,26.6,4.21,0.966,28.3,43,29.4,44.1,5  1/2 
WT,WT7X60,WT7X60,F,60,17.7,7.24,7  1/4 ,14.7,14  5/8 ,0.59,  9/16,  5/16,0.94, 15/16,1.54,2  1/4 ,1.24,0.602,7.8,12.3,51.7,16.5,8.61,1.71,247,51.2,33.7,3.74,4.67,20,4.19,0.966,28.2,42.9,29.2,43.9,5  1/2 
WT,WT7X54.5,WT7X54.5,F,54.5,16,7.16,7  1/8 ,14.6,14  5/8 ,0.525,  1/2 ,  1/4 ,0.86,  7/8 ,1.46,2  3/16,1.17,0.548,8.49,13.6,45.3,14.4,7.56,1.68,223,46.3,30.6,3.73,3.55,15,4.16,0.968,27.9,42.5,28.9,43.5,5  1/2 
WT,WT7X49.5,WT7X49.5,F,49.5,14.6,7.08,7  1/8 ,14.6,14  5/8 ,0.485,  1/2 ,  1/4 ,0.78,  3/4 ,1.38,2  1/16,1.14,0.5,9.34,14.6,40.9,12.9,6.88,1.67,201,41.8,27.6,3.71,2.68,11.1,4.14,0.967,27.7,42.3,28.8,43.4,5  1/2 
WT,WT7X45,WT7X45,F,45,13.2,7.01,7,14.5,14  1/2 ,0.44,  7/16,  1/4 ,0.71, 11/16,1.31,2,1.09,0.456,10.2,15.9,36.5,11.5,6.16,1.66,181,37.8,25,3.7,2.03,8.31,4.12,0.968,27.5,42,28.5,43,5  1/2 
WT,WT7X41,WT7X41,F,41,12,7.16,7  1/8 ,10.1,10  1/8 ,0.51,  1/2 ,  1/4 ,0.855,  7/8 ,1.45,1 11/16,1.39,0.593,5.92,14,41.2,13.2,7.14,1.85,74.1,22.4,14.6,2.48,2.53,5.63,3.24,0.912,23.7,33.8,24.4,34.5,5  1/2 
WT,WT7X37,WT7X37,F,37,10.9,7.09,7  1/8 ,10.1,10  1/8 ,0.45,  7/16,  1/4 ,0.785, 13/16,1.38,1  5/8 ,1.32,0.541,6.41,15.8,36,11.5,6.25,1.82,66.9,20.2,13.3,2.48,1.93,4.19,3.21,0.916,23.6,33.7,24.3,34.4,5  1/2 
WT,WT7X34,WT7X34,F,34,10,7.02,7,10,10,0.415,  7/16,  1/4 ,0.72,  3/4 ,1.31,1  9/16,1.29,0.498,6.97,16.9,32.6,10.4,5.69,1.81,60.7,18.4,12.1,2.46,1.5,3.21,3.19,0.916,23.4,33.4,24,34,5  1/2 
WT,WT7X30.5,WT7X30.5,F,30.5,8.96,6.95,7,10,10,0.375,  3/8 ,  3/16,0.645,  5/8 ,1.24,1  1/2 ,1.25,0.448,7.75,18.5,28.9,9.15,5.07,1.8,53.7,16.4,10.7,2.45,1.09,2.29,3.17,0.915,23.2,33.2,23.9,33.9,5  1/2 
WT,WT7X26.5,WT7X26.5,F,26.5,7.8,6.96,7,8.06,8,0.37,  3/8 ,  3/16,0.66, 11/16,1.25,1  1/2 ,1.38,0.484,6.11,18.8,27.6,8.87,4.94,1.88,28.8,11,7.15,1.92,0.967,1.46,2.89,0.868,21.3,29.4,22,30,5  1/2 
WT,WT7X24,WT7X24,F,24,7.07,6.9,6  7/8 ,8.03,8,0.34,  5/16,  3/16,0.595,  5/8 ,1.19,1  7/16,1.35,0.44,6.75,20.3,24.9,8,4.49,1.88,25.7,9.8,6.4,1.91,0.723,1.07,2.87,0.866,21.1,29.2,21.8,29.9,5  1/2 
WT,WT7X21.5,WT7X21.5,F,21.5,6.31,6.83,6  7/8 ,8,8,0.305,  5/16,  3/16,0.53,  1/2 ,1.12,1  3/8 ,1.31,0.395,7.54,22.4,21.9,7.05,3.98,1.86,22.6,8.64,5.65,1.89,0.522,0.751,2.86,0.865,21,29,21.7,29.7,5  1/2 
WT,WT7X19,WT7X19,F,19,5.58,7.05,7,6.77,6  3/4 ,0.31,  5/16,  3/16,0.515,  1/2 ,0.915,1  1/4 ,1.54,0.412,6.57,22.7,23.3,7.45,4.22,2.04,13.3,6.07,3.94,1.55,0.398,0.554,2.86,0.799,20.4,27.1,20.9,27.6,3  1/2 
WT,WT7X17,WT7X17,F,17,5,6.99,7,6.75,6  3/4 ,0.285,  5/16,  3/16,0.455,  7/16,0.855,1  3/16,1.53,0.371,7.41,24.5,20.9,6.74,3.83,2.04,11.6,5.32,3.45,1.53,0.284,0.4,2.87,0.792,20.2,27,20.7,27.5,3  1/2 
WT,WT7X15,WT7X15,F,15,4.42,6.92,6  7/8 ,6.73,6  3/4 ,0.27,  1/4 ,  1/8 ,0.385,  3/8 ,0.785,1  1/8 ,1.58,0.329,8.74,25.6,19,6.25,3.55,2.07,9.79,4.49,2.91,1.49,0.19,0.287,2.9,0.772,20.1,26.8,20.6,27.3,3  1/2 
WT,WT7X13,WT7X13,F,13,3.85,6.96,7,5.03,5,0.255,  1/4 ,  1/8 ,0.42,  7/16,0.82,1  1/8 ,1.72,0.383,5.98,27.3,17.3,5.89,3.31,2.12,4.45,2.76,1.77,1.08,0.179,0.207,2.82,0.712,18.4,23.5,19,24,2  3/4 
WT,WT7X11,WT7X11,F,11,3.25,6.87,6  7/8 ,5,5,0.23,  1/4 ,  1/8 ,0.335,  5/16,0.735,1  1/16,1.76,0.325,7.46,29.9,14.8,5.2,2.91,2.14,3.5,2.19,1.4,1.04,0.104,0.134,2.86,0.689,18.2,23.2,18.7,23.7,2  3/4 
WT,WT6X168,WT6X168,T,168,49.5,8.41,8  3/8 ,13.4,13  3/8 ,1.78,1  3/4 ,  7/8 ,2.96,2 15/16,3.55,3  7/8 ,2.31,1.84,2.26,4.72,190,68.4,31.2,1.96,593,137,88.6,3.47,120,481,4.07,0.958,29.5,42.9,30.2,43.6,5  1/2 
WT,WT6X152.5,WT6X152.5,T,152.5,44.7,8.16,8  1/8 ,13.2,13  1/4 ,1.63,1  5/8 , 13/16,2.71,2 11/16,3.3,3  5/8 ,2.16,1.69,2.45,5.01,162,59.1,27,1.9,525,122,79.3,3.42,92,356,4,0.959,28.8,42,29.5,42.7,5  1/2 
WT,WT6X139.5,WT6X139.5,T,139.5,41,7.93,7  7/8 ,13.1,13  1/8 ,1.53,1  1/2 ,  3/4 ,2.47,2  1/2 ,3.07,3  3/8 ,2.05,1.56,2.66,5.18,141,51.9,24.1,1.86,469,110,71.3,3.38,70.9,267,3.94,0.958,28.3,41.4,29,42.1,5  1/2 
WT,WT6X126,WT6X126,T,126,37.1,7.71,7  3/4 ,13,13,1.4,1  3/8 , 11/16,2.25,2  1/4 ,2.85,3  1/8 ,1.92,1.42,2.89,5.51,121,44.8,20.9,1.81,414,97.9,63.6,3.34,53.5,195,3.88,0.958,27.7,40.7,28.4,41.4,5  1/2 
WT,WT6X115,WT6X115,T,115,33.8,7.53,7  1/2 ,12.9,12  7/8 ,1.29,1  5/16, 11/16,2.07,2  1/16,2.67,2 15/16,1.82,1.31,3.11,5.84,106,39.4,18.5,1.77,371,88.4,57.5,3.31,41.6,148,3.83,0.958,27.3,40.2,28,40.9,5  1/2 
WT,WT6X105,WT6X105,F,105,30.9,7.36,7  3/8 ,12.8,12  3/4 ,1.18,1  3/16,  5/8 ,1.9,1  7/8 ,2.5,2 13/16,1.72,1.21,3.37,6.24,92.1,34.5,16.4,1.73,332,79.7,51.9,3.28,32.1,112,3.79,0.958,26.8,39.6,27.5,40.3,5  1/2 
WT,WT6X95,WT6X95,F,95,28,7.19,7  1/4 ,12.7,12  5/8 ,1.06,1  1/16,  9/16,1.74,1  3/4 ,2.33,2  5/8 ,1.62,1.1,3.65,6.78,79,29.8,14.2,1.68,295,71.2,46.5,3.25,24.3,82.1,3.73,0.96,26.4,39.1,27.1,39.8,5  1/2 
WT,WT6X85,WT6X85,F,85,25,7.02,7,12.6,12  5/8 ,0.96, 15/16,  1/2 ,1.56,1  9/16,2.16,2  7/16,1.52,0.994,4.03,7.31,67.8,25.6,12.3,1.65,259,62.9,41.2,3.22,17.7,58.3,3.69,0.96,26,38.6,26.6,39.2,5  1/2 
WT,WT6X76,WT6X76,F,76,22.4,6.86,6  7/8 ,12.5,12  1/2 ,0.87,  7/8 ,  7/16,1.4,1  3/8 ,2,2  5/16,1.43,0.896,4.46,7.89,58.5,22,10.8,1.62,227,55.6,36.4,3.19,12.8,41.3,3.65,0.96,25.5,38,26.2,38.7,5  1/2 
WT,WT6X68,WT6X68,F,68,20,6.71,6  3/4 ,12.4,12  3/8 ,0.79, 13/16,  7/16,1.25,1  1/4 ,1.85,2  1/8 ,1.35,0.805,4.96,8.49,50.6,19,9.46,1.59,199,48.9,32.1,3.16,9.21,28.9,3.61,0.959,25.1,37.5,25.8,38.2,5  1/2 
WT,WT6X60,WT6X60,F,60,17.6,6.56,6  1/2 ,12.3,12  3/8 ,0.71, 11/16,  3/8 ,1.11,1  1/8 ,1.7,2,1.28,0.716,5.57,9.24,43.4,16.2,8.22,1.57,172,42.7,28,3.13,6.42,19.7,3.57,0.959,24.7,37,25.4,37.7,5  1/2 
WT,WT6X53,WT6X53,F,53,15.6,6.45,6  1/2 ,12.2,12  1/4 ,0.61,  5/8 ,  5/16,0.99,1,1.59,1  7/8 ,1.19,0.637,6.17,10.6,36.3,13.6,6.92,1.53,151,37.5,24.7,3.11,4.55,13.6,3.53,0.961,24.4,36.6,25.1,37.3,5  1/2 
WT,WT6X48,WT6X48,F,48,14.1,6.36,6  3/8 ,12.2,12  1/8 ,0.55,  9/16,  5/16,0.9,  7/8 ,1.5,1 13/16,1.13,0.58,6.76,11.6,32,11.9,6.12,1.51,135,33.7,22.2,3.09,3.42,10.1,3.51,0.962,24.2,36.4,24.9,37.1,5  1/2 
WT,WT6X43.5,WT6X43.5,F,43.5,12.8,6.27,6  1/4 ,12.1,12  1/8 ,0.515,  1/2 ,  1/4 ,0.81, 13/16,1.41,1 11/16,1.1,0.527,7.48,12.2,28.9,10.7,5.6,1.5,120,30.2,19.9,3.07,2.54,7.34,3.49,0.96,24,36.1,24.6,36.7,5  1/2 
WT,WT6X39.5,WT6X39.5,F,39.5,11.6,6.19,6  1/4 ,12.1,12  1/8 ,0.47,  1/2 ,  1/4 ,0.735,  3/4 ,1.33,1  5/8 ,1.06,0.48,8.22,13.2,25.8,9.49,5.03,1.49,108,27.1,17.9,3.05,1.91,5.43,3.47,0.96,23.8,35.9,24.5,36.6,5  1/2 
WT,WT6X36,WT6X36,F,36,10.6,6.13,6  1/8 ,12,12,0.43,  7/16,  1/4 ,0.67, 11/16,1.27,1  9/16,1.02,0.439,8.99,14.3,23.2,8.48,4.54,1.48,97.5,24.6,16.2,3.04,1.46,4.07,3.45,0.96,23.6,35.6,24.3,36.3,5  1/2 
WT,WT6X32.5,WT6X32.5,F,32.5,9.54,6.06,6,12,12,0.39,  3/8 ,  3/16,0.605,  5/8 ,1.2,1  1/2 ,0.985,0.398,9.92,15.5,20.6,7.5,4.06,1.47,87.2,22,14.5,3.02,1.09,2.97,3.43,0.96,23.4,35.4,24.1,36.1,5  1/2 
WT,WT6X29,WT6X29,F,29,8.52,6.1,6  1/8 ,10,10,0.36,  3/8 ,  3/16,0.64,  5/8 ,1.24,1  1/2 ,1.03,0.426,7.82,16.9,19.1,6.97,3.76,1.5,53.5,16.2,10.7,2.51,1.05,2.08,3,0.944,21.6,31.6,22.2,32.2,5  1/2 
WT,WT6X26.5,WT6X26.5,F,26.5,7.78,6.03,6,10,10,0.345,  3/8 ,  3/16,0.575,  9/16,1.18,1  3/8 ,1.02,0.389,8.69,17.5,17.7,6.46,3.54,1.51,47.9,14.5,9.58,2.48,0.788,1.53,3,0.939,21.5,31.5,22.1,32.1,5  1/2 
WT,WT6X25,WT6X25,F,25,7.3,6.1,6  1/8 ,8.08,8  1/8 ,0.37,  3/8 ,  3/16,0.64,  5/8 ,1.14,1  1/2 ,1.17,0.452,6.31,16.5,18.7,6.88,3.79,1.6,28.2,10.6,6.97,1.96,0.855,1.23,2.67,0.899,19.7,27.8,20.3,28.4,5  1/2 
WT,WT6X22.5,WT6X22.5,F,22.5,6.56,6.03,6,8.05,8,0.335,  5/16,  3/16,0.575,  9/16,1.08,1  3/8 ,1.13,0.408,7,18,16.6,6.1,3.39,1.59,25,9.47,6.21,1.95,0.627,0.885,2.66,0.898,19.5,27.6,20.1,28.2,5  1/2 
WT,WT6X20,WT6X20,F,20,5.84,5.97,6,8.01,8,0.295,  5/16,  3/16,0.515,  1/2 ,1.02,1  3/8 ,1.09,0.365,7.77,20.2,14.4,5.28,2.95,1.57,22,8.38,5.5,1.94,0.452,0.62,2.63,0.901,19.3,27.4,20,28,5  1/2 
WT,WT6X17.5,WT6X17.5,F,17.5,5.17,6.25,6  1/4 ,6.56,6  1/2 ,0.3,  5/16,  3/16,0.52,  1/2 ,0.82,1  3/16,1.3,0.394,6.31,20.8,16,5.71,3.23,1.76,12.2,5.73,3.73,1.54,0.369,0.437,2.56,0.834,18.5,25.1,19.1,25.6,3  1/2 
WT,WT6X15,WT6X15,F,15,4.4,6.17,6  1/8 ,6.52,6  1/2 ,0.26,  1/4 ,  1/8 ,0.44,  7/16,0.74,1  1/8 ,1.27,0.337,7.41,23.7,13.5,4.83,2.75,1.75,10.2,4.78,3.12,1.52,0.228,0.267,2.54,0.83,18.3,24.9,18.9,25.4,3  1/2 
WT,WT6X13,WT6X13,F,13,3.82,6.11,6  1/8 ,6.49,6  1/2 ,0.23,  1/4 ,  1/8 ,0.38,  3/8 ,0.68,1  1/16,1.25,0.295,8.54,26.6,11.7,4.2,2.4,1.75,8.66,4.08,2.67,1.51,0.15,0.174,2.54,0.827,18.2,24.7,18.7,25.2,3  1/2 
WT,WT6X11,WT6X11,F,11,3.24,6.16,6  1/8 ,4.03,4,0.26,  1/4 ,  1/8 ,0.425,  7/16,0.725, 15/16,1.63,0.402,4.74,23.7,11.7,4.63,2.59,1.9,2.33,1.83,1.15,0.847,0.146,0.137,2.52,0.683,16,20,16.4,20.4,2  1/4 
