Size,Type,d,b,tftip,tf,tw,R1,R2,d1,A,W,Ix,Sx,rx,Iy,Sy,ry,x 
CS 2 X 0.577,Aluminum Association,2,1,0.13,0.13,0.1 30,0.1,0.01,1.74,0.49,0.577,0.288,0.288,0.766,0.045,0.0639,0.303,0.296
CS 2 X 1.07,Aluminum Association,2,1.25,0.26,0.26,0.17,0.15,0.01,1.48,0.911,1.07,0.546,0.546,0.774,0.139,0.178,0.39,0.471
CS 3 X 1.14,Aluminum Association,3,1.5,0.2,0.2,0.13,0.25,0.01,2.6,0.965,1.14,1.41,0.94,1.21,0.217,0.215,0.474,0.494
CS 3 X 1.60,Aluminum Association,3,1.75,0.26,0.26,0.17,0.25,0.01,2.48,1.36,1.6,1.97,1.31,1.2,0.417,0.368,0.554,0.617
CS 4 X 1.74,Aluminum Association,4,2,0.23,0.23,0.15,0.25,0.01,3.54,1.48,1.74,3.91,1.95,1.63,0.601,0.446,0.638,0.653
CS 4 X 2.33,Aluminum Association,4,2.25,0.29,0.29,0.19,0.25,0.01,3.42,1.98,2.33,5.21,2.6,1.62,1.02,0.692,0.717,0.775
CS 5 X 2.21,Aluminum Association,5,2.25,0.26,0.26,0.15,0.3,0.01,4.48,1.88,2.21,7.88,3.15,2.05,0.975,0.642,0.72,0.731
CS 5 X 3.09,Aluminum Association,5,2.75,0.32,0.32,0.19,0.3,0.01,4.36,2.63,3.09,11.1,4.45,2.06,2.05,1.14,0.884,0.955
CS 6 X 2.83,Aluminum Association,6,2.5,0.29,0.29,0.17,0.3,0.01,5.42,2.41,2.83,14.4,4.78,2.44,1.53,0.896,0.798,0.788
CS 6 X 4.03,Aluminum Association,6,3.25,0.35,0.35,0.21,0.3,0.01,5.3,3.43,4.03,21,7.01,2.48,3.76,1.76,1.05,1.12
CS 7 X 3.21,Aluminum Association,7,2.75,0.29,0.29,0.17,0.3,0.01,6.42,2.73,3.21,22.1,6.31,2.85,2.1,1.1,0.878,0.842
CS 7 X 4.72,Aluminum Association,7,3.5,0.38,0.38,0.21,0.3,0.01,6.24,4.01,4.72,33.8,9.65,2.9,5.13,2.23,1.13,1.2
CS 8 X 4.15,Aluminum Association,8,3,0.35,0.35,0.19,0.3,0.01,7.3,3.53,4.15,37.4,9.35,3.26,3.25,1.57,0.959,0.934
CS 8 X 5.79,Aluminum Association,8,3.75,0.41,0.41,0.25,0.35,0.01,7.18,4.92,5.79,52.7,13.2,3.27,7.12,2.82,1.2,1.22
CS 9 X 4.98,Aluminum Association,9,3.25,0.35,0.35,0.23,0.35,0.01,8.3,4.24,4.98,54.4,12.1,3.58,4.4,1.89,1.02,0.928
CS 9 X 6.97,Aluminum Association,9,4,0.44,0.44,0.29,0.35,0.01,8.12,5.93,6.97,78.3,17.4,3.63,9.6,3.49,1.27,1.25
CS 10 X 6.14,Aluminum Association,10,3.5,0.41,0.41,0.25,0.35,0.01,9.18,5.22,6.14,83.2,16.6,3.99,6.33,2.55,1.1,1.02
CS 10 X 8.36,Aluminum Association,10,4.25,0.5,0.5,0.31,0.4,0.01,9,7.11,8.36,116,23.2,4.04,13,4.46,1.35,1.34
CS 12 X 8.27,Aluminum Association,12,4,0.47,0.47,0.29,0.4,0.01,11.06,7.04,8.27,160,26.6,4.77,11,3.85,1.25,1.14
CS 12 X 11.8,Aluminum Association,12,5,0.62,0.62,0. 350,0.45,0.01,10.76,10.1,11.8,240,39.9,4.88,25.7,7.59,1.6,1.61
CS 14 X 13.91,Aluminum Association,14,6,0.64,0.64,0.32,0.45,0.01,12.72,11.8,13.91,401,57.3,5.82,44.7,11.2,1.94,2
C 2 X 1.22,American Standard,2,1.41,0.17,0.273,0.17,0.27,0.1,0.75,1.04,1.22,0.622,0.622,0.774,0.172,0.188,0.407,0.49
C 3 X 1.42,American Standard,3,1.41,0.17,0.273,0.17,0.27,0.1,1.75,1.21,1.42,1.66,1.1,1.17,0.2,0.2,0.4,0.44
C 3 X 1.73,American Standard,3,1.498,0.17,0.273,0.258,0.27,0.1,1.75,1.47,1.73,1.85,1.24,1.12,0.21,0.21,0.41,0.44
C 3 X 2.07,American Standard,3,1.596,0.17,0.273,0.356,0.27,0.1,1.75,1.76,2.07,2.07,1.38,1.08,0.31,0.27,0.42,0.46
C 4 X 1.85,American Standard,4,1.58,0.18,0.297,0.18,0.28,0.11,2.75,1.57,1.85,3.83,1.92,1.56,0.32,0.28,0.45,0.46
C 4 X 2.16,American Standard,4,1.647,0.18,0.297,0.247,0.28,0.11,2.75,1.84,2.16,4.19,2.1,1.51,0.37,0.31,0.45,0.45
C 4 X 2.50,American Standard,4,1.72,0.18,0.297,0.32,0.28,0.11,2.75,2.13,2.5,4.58,2.29,1.47,0.43,0.34,0.45,0.46
C 5 X 2.32,American Standard,5,1.75,0.19,0.32,0.19,0.29,0.11,3.75,1.97,2.32,7.49,3,1.95,0.48,0.38,0.49,0.48
C 5 X 3.11,American Standard,5,1.885,0.19,0.32,0.325,0.29,0.11,3.75,2.64,3.11,8.9,3.56,1.83,0.63,0.45,0.49,0.48
C 5 X 3.97,American Standard,5,2.032,0.19,0.32,0.472,0.29,0.11,3.75,3.38,3.97,10.4,4.17,1.76,0.81,0.53,0.49,0.51
C 6 X 2.83,American Standard,6,1.92,0.2,0.343,0.2,0.3,0.12,4.5,2.4,2.83,13.1,4.37,2.34,0.69,0.49,0.54,0.51
C 6 X 3.00,American Standard,6,1.945,0.2,0.343,0.225,0.3,0.12,4.5,2.55,3,13.6,4.52,2.31,0.73,0.51,0.54,0.51
C 6 X 3.63,American Standard,6,2.034,0.2,0.343,0.314,0.3,0.12,4.5,3.09,3.63,15.2,5.06,2.22,0.87,0.56,0.5,0.5
C 6 X 4.50,American Standard,6,2.157,0.2,0.343,0.438,0.3,0.12,4.5,3.83,4.5,17.4,5.8,2.13,1.05,0.64,0.52,0.51
C 7 X 3.54,American Standard,7,2.11,0.21,0.367,0.23,0.31,0.13,5.5,3.01,3.54,21.8,6.24,2.69,1.01,0.64,0.58,0.54
C 7 X 4.23,American Standard,7,2.194,0.21,0.367,0.314,0.31,0.13,5.5,3.6,4.23,24.2,6.93,2.6,1.17,0.7,0.57,0.52
C 7 X 5.10,American Standard,7,2.299,0.21,0.367,0.419,0.31,0.13,5.5,4.33,5.1,27.2,7.78,2.51,1.38,0.78,0.56,0.53
C 7 X 5.96,American Standard,7,2.404,0.21,0.367,0.524,0.31,0.13,5.5,5.07,5.96,30.3,8.64,2.44,1.59,0.86,0.56,0.55
C 8 X 4.25,American Standard,8,2.29,0.22,0.39,0.25,0.32,0.13,6.25,3.62,4.25,33.9,8.46,3.06,1.4,0.81,0.62,0.56
C 8 X 4.75,American Standard,8,2.343,0.22,0.39,0.303,0.32,0.13,6.25,4.04,4.75,36.1,9.03,2.99,1.53,0.85,0.61,0.55
C 8 X 5.62,American Standard,8,2.435,0.22,0.39,0.395,0.32,0.13,6.25,4.78,5.62,40,10,2.9,1.75,0.93,0.61,0.55
C 8 X 6.48,American Standard,8,2.527,0.22,0.39,0.487,0.32,0.13,6.25,5.51,6.48,44,11,2.82,1.98,1.01,0.6,0.57
C 9 X 4.60,American Standard,9,2.43,0.23,0.413,0.23,0.33,0.14,7.25,3.91,4.6,47.7,10.6,3.49,1.75,0.96,0.67,0.6
C 9 X 5.19,American Standard,9,2.485,0.23,0.413,0.285,0.33,0.14,7.25,4.41,5.19,51,11.3,3.4,1.93,1.01,0.66,0.59
C 9 X 6.91,American Standard,9,2.648,0.23,0.413,0.448,0.33,0.14,7.25,5.88,6.91,60.9,13.5,3.22,2.42,1.17,0.64,0.58
C 9 X 8.65,American Standard,9,2.812,0.23,0.413,0.612,0.33,0.14,7.25,7.35,8.65,70.9,15.8,3.11,2.94,1.34,0.63,0.61
C 10 X 5.28,American Standard,10,2.6,0.24,0.437,0.24,0.34,0.14,8.25,4.49,5.28,67.4,13.5,3.87,2.28,1.16,0.71,0.63
C 10 X 6.91,American Standard,10,2.739,0.24,0.437,0.379,0.34,0.14,8.25,5.88,6.91,79,15.8,3.66,2.81,1.32,0.69,0.61
C 10 X 8.64,American Standard,10,2.886,0.24,0.437,0.526,0.34,0.14,8.25,7.35,8.64,91.2,18.2,3.52,3.36,1.48,0.68,0.62
C 10 X 10.4,American Standard,10,3.033,0.24,0.437,0.673,0.34,0.14,8.25,8.82,10.4,104,20.7,3.43,3.95,1.66,0.67,0.65
C 12 X 7.41,American Standard,12,2.96,0.28,0.502,0.3,0.38,0.17,10,6.3,7.41,132,22,4.57,3.99,1.76,0.8,0.69
C 12 X 8.64,American Standard,12,3.047,0.28,0.502,0.387,0.38,0.17,10,7.35,8.64,144,24.1,4.43,4.47,1.89,0.78,0.67
C 12 X 10.4,American Standard,12,3.17,0.28,0.502,0.51,0.38,0.17,10,8.82,10.4,162,27,4.29,5.14,2.06,0.76,0.67
C 12 X 12.1,American Standard,12,3.292,0.28,0.502,0.632,0.38,0.17,10,10.3,12.1,180,29.9,4.18,5.82,2.24,0.75,0.69
C 15 X 11.7,American Standard,15,3.4,0.4,0.65,0.4,0.5,0.24,12.4,9.96,11.7,315,42,5.62,8.13,3.11,0.9,0.79
C 15 X 17.3,American Standard,15,3.716,0.4,0.65,0.716,0.5,0.24,12.4,14.7,17.3,404,53.8,5.24,11,3.78,0.87,0.8
