Size,OD,ID,t,A,W,I,S,Z,r,J,Rblt
HSS 1.5 x 0.062,1.500,1.376,0.062,0.280,0.329,0.0725,0.097,0.128,0.509,0.145,11.6
HSS 1.5 x 0.094,1.500,1.312,0.094,0.415,0.488,0.103,0.137,0.186,0.498,0.205,7.5
HSS 1.5 x 0.125,1.500,1.250,0.125,0.540,0.635,0.129,0.172,0.237,0.488,0.255,5.5
HSS 1.5 x 0.156,1.500,1.188,0.156,0.659,0.775,0.151,0.201,0.283,0.478,0.297,4.3
HSS 1.5 x 0.188,1.500,1.124,0.188,0.775,0.911,0.170,0.227,0.326,0.469,0.333,3.5
HSS 1.5 x 0.25,1.500,1.000,0.250,0.982,1.15,0.199,0.266,0.396,0.451,0.383,2.5
HSS 1.5 x 0.375,1.500,0.750,0.375,1.33,1.56,0.233,0.311,0.492,0.419,0.419,1.5
HSS 1.625 x 0.125,1.625,1.375,0.125,0.589,0.693,0.167,0.205,0.282,0.532,0.331,6.0
HSS 1.625 x 0.188,1.625,1.249,0.188,0.849,0.998,0.223,0.274,0.390,0.512,0.438,3.8
HSS 1.625 x 0.25,1.625,1.125,0.250,1.08,1.27,0.264,0.324,0.478,0.494,0.510,2.8
HSS 1.75 x 0.125,1.750,1.500,0.125,0.638,0.750,0.212,0.242,0.331,0.576,0.421,6.5
HSS 1.75 x 0.188,1.750,1.374,0.188,0.923,1.08,0.285,0.326,0.461,0.556,0.563,4.2
HSS 1.75 x 0.25,1.750,1.250,0.250,1.18,1.39,0.341,0.389,0.568,0.538,0.663,3.0
HSS 1.75 x 0.375,1.750,1.000,0.375,1.62,1.90,0.411,0.470,0.727,0.504,0.766,1.8
HSS 1.875 x 0.125,1.875,1.625,0.125,0.687,0.808,0.264,0.282,0.383,0.620,0.526,7.0
HSS 1.875 x 0.188,1.875,1.499,0.188,0.996,1.17,0.359,0.383,0.537,0.600,0.709,4.5
HSS 1.875 x 0.25,1.875,1.375,0.250,1.28,1.50,0.431,0.460,0.665,0.581,0.843,3.3
HSS 1.875 x 0.375,1.875,1.125,0.375,1.77,2.08,0.528,0.563,0.861,0.547,0.994,2.0
HSS 2 x 0.125,2.000,1.750,0.125,0.736,0.866,0.325,0.325,0.440,0.664,0.647,7.5
HSS 2 x 0.188,2.000,1.624,0.188,1.07,1.26,0.444,0.444,0.619,0.644,0.878,4.8
HSS 2 x 0.25,2.000,1.500,0.250,1.37,1.62,0.537,0.537,0.771,0.625,1.05,3.5
HSS 2 x 0.312,2.000,1.376,0.312,1.65,1.95,0.609,0.609,0.899,0.607,1.18,2.7
HSS 2 x 0.375,2.000,1.250,0.375,1.91,2.25,0.666,0.666,1.01,0.590,1.26,2.2
HSS 2 x 0.5,2.000,1.000,0.500,2.36,2.77,0.736,0.736,1.17,0.559,1.33,1.5
HSS 2.25 x 0.125,2.250,2.000,0.125,0.834,0.981,0.473,0.420,0.565,0.753,0.942,8.5
HSS 2.25 x 0.188,2.250,1.874,0.188,1.22,1.43,0.653,0.580,0.802,0.732,1.29,5.5
HSS 2.25 x 0.25,2.250,1.750,0.250,1.57,1.85,0.798,0.709,1.01,0.713,1.57,4.0
HSS 2.25 x 0.312,2.250,1.626,0.312,1.90,2.23,0.915,0.813,1.18,0.694,1.78,3.1
HSS 2.25 x 0.375,2.250,1.500,0.375,2.21,2.60,1.01,0.897,1.34,0.676,1.94,2.5
HSS 2.25 x 0.5,2.250,1.250,0.500,2.75,3.23,1.14,1.01,1.57,0.643,2.10,1.8
HSS 2.375 x 0.188,2.375,1.999,0.188,1.29,1.52,0.778,0.655,0.901,0.776,1.54,5.8
HSS 2.375 x 0.25,2.375,1.875,0.250,1.67,1.96,0.955,0.804,1.13,0.756,1.88,4.3
HSS 2.375 x 0.375,2.375,1.625,0.375,2.36,2.77,1.22,1.03,1.52,0.719,2.36,2.7
HSS 2.375 x 0.5,2.375,1.375,0.500,2.95,3.46,1.39,1.17,1.80,0.686,2.59,1.9
HSS 2.5 x 0.125,2.500,2.250,0.125,0.933,1.10,0.659,0.528,0.706,0.841,1.32,9.5
HSS 2.5 x 0.188,2.500,2.124,0.188,1.37,1.61,0.918,0.735,1.01,0.820,1.82,6.1
HSS 2.5 x 0.25,2.500,2.000,0.250,1.77,2.08,1.13,0.906,1.27,0.800,2.24,4.5
HSS 2.5 x 0.312,2.500,1.876,0.312,2.14,2.52,1.31,1.05,1.50,0.781,2.57,3.5
HSS 2.5 x 0.375,2.500,1.750,0.375,2.50,2.94,1.46,1.17,1.71,0.763,2.83,2.8
HSS 2.5 x 0.5,2.500,1.500,0.500,3.14,3.69,1.67,1.34,2.04,0.729,3.14,2.0
HSS 2.5 x 0.625,2.500,1.250,0.625,3.68,4.33,1.80,1.44,2.28,0.699,3.24,1.5
HSS 2.5 x 0.75,2.500,1.000,0.750,4.12,4.85,1.87,1.49,2.44,0.673,3.16,1.2
HSS 2.625 x 0.25,2.625,2.125,0.250,1.87,2.19,1.33,1.01,1.42,0.844,2.63,4.8
HSS 2.75 x 0.125,2.750,2.500,0.125,1.03,1.21,0.890,0.647,0.862,0.929,1.78,10.5
HSS 2.75 x 0.188,2.750,2.374,0.188,1.51,1.78,1.25,0.908,1.24,0.908,2.48,6.8
HSS 2.75 x 0.25,2.750,2.250,0.250,1.96,2.31,1.55,1.13,1.57,0.888,3.07,5.0
HSS 2.75 x 0.312,2.750,2.126,0.312,2.39,2.81,1.80,1.31,1.86,0.869,3.55,3.9
HSS 2.75 x 0.375,2.750,2.000,0.375,2.80,3.29,2.02,1.47,2.13,0.850,3.95,3.2
HSS 2.75 x 0.5,2.750,1.750,0.500,3.53,4.16,2.35,1.71,2.57,0.815,4.47,2.3
HSS 2.75 x 0.625,2.750,1.500,0.625,4.17,4.91,2.56,1.86,2.90,0.783,4.71,1.7
HSS 2.75 x 0.75,2.750,1.250,0.750,4.71,5.54,2.69,1.95,3.14,0.755,4.71,1.3
HSS 2.875 x 0.25,2.875,2.375,0.250,2.06,2.42,1.79,1.25,1.73,0.932,3.55,5.3
HSS 2.875 x 0.5,2.875,1.875,0.500,3.73,4.39,2.75,1.91,2.86,0.858,5.26,2.4
HSS 3 x 0.125,3.000,2.750,0.125,1.13,1.33,1.17,0.779,1.03,1.02,2.33,11.5
HSS 3 x 0.188,3.000,2.624,0.188,1.66,1.95,1.65,1.10,1.49,0.996,3.28,7.5
HSS 3 x 0.25,3.000,2.500,0.250,2.16,2.54,2.06,1.37,1.90,0.976,4.08,5.5
HSS 3 x 0.375,3.000,2.250,0.375,3.09,3.64,2.72,1.81,2.60,0.938,5.33,3.5
HSS 3 x 0.5,3.000,2.000,0.500,3.93,4.62,3.19,2.13,3.17,0.901,6.14,2.5
HSS 3 x 0.625,3.000,1.750,0.625,4.66,5.48,3.52,2.34,3.61,0.868,6.58,1.9
HSS 3 x 0.75,3.000,1.500,0.750,5.30,6.23,3.73,2.49,3.94,0.839,6.71,1.5
HSS 3 x 1,3.000,1.000,1.000,6.28,7.39,3.93,2.62,4.33,0.791,6.28,1.0
HSS 3.25 x 0.25,3.250,2.750,0.250,2.36,2.77,2.67,1.64,2.26,1.06,5.30,6.0
HSS 3.25 x 0.375,3.250,2.500,0.375,3.39,3.98,3.56,2.19,3.12,1.03,7.00,3.8
HSS 3.25 x 0.5,3.250,2.250,0.500,4.32,5.08,4.22,2.60,3.82,0.988,8.17,2.8
HSS 3.5 x 0.125,3.500,3.250,0.125,1.33,1.56,1.89,1.08,1.42,1.19,3.77,13.5
HSS 3.5 x 0.188,3.500,3.124,0.188,1.96,2.30,2.69,1.54,2.06,1.17,5.36,8.8
HSS 3.5 x 0.25,3.500,3.000,0.250,2.55,3.00,3.39,1.94,2.65,1.15,6.74,6.5
HSS 3.5 x 0.312,3.500,2.876,0.312,3.12,3.67,4.01,2.29,3.18,1.13,7.94,5.1
HSS 3.5 x 0.375,3.500,2.750,0.375,3.68,4.33,4.56,2.61,3.68,1.11,8.99,4.2
HSS 3.5 x 0.5,3.500,2.500,0.500,4.71,5.54,5.45,3.11,4.54,1.08,10.6,3.0
HSS 3.5 x 0.75,3.500,2.000,0.750,6.48,7.62,6.58,3.76,5.81,1.01,12.3,1.8
HSS 3.75 x 0.125,3.750,3.500,0.125,1.42,1.67,2.34,1.25,1.64,1.28,4.68,14.5
HSS 3.75 x 0.188,3.750,3.374,0.188,2.10,2.47,3.35,1.78,2.39,1.26,6.67,9.5
HSS 3.75 x 0.25,3.750,3.250,0.250,2.75,3.23,4.23,2.26,3.07,1.24,8.42,7.0
HSS 3.75 x 0.375,3.750,3.000,0.375,3.98,4.68,5.73,3.06,4.29,1.20,11.3,4.5
HSS 3.75 x 0.5,3.750,2.750,0.500,5.11,6.00,6.90,3.68,5.32,1.16,13.5,3.3
HSS 4 x 0.125,4.000,3.750,0.125,1.52,1.79,2.86,1.43,1.88,1.37,5.71,15.5
HSS 4 x 0.188,4.000,3.624,0.188,2.25,2.65,4.10,2.05,2.73,1.35,8.18,10.1
HSS 4 x 0.25,4.000,3.500,0.250,2.95,3.46,5.20,2.60,3.52,1.33,10.4,7.5
HSS 4 x 0.312,4.000,3.376,0.312,3.61,4.25,6.19,3.09,4.25,1.31,12.3,5.9
HSS 4 x 0.375,4.000,3.250,0.375,4.27,5.02,7.09,3.54,4.95,1.29,14.0,4.8
HSS 4 x 0.5,4.000,3.000,0.500,5.50,6.47,8.59,4.30,6.17,1.25,16.8,3.5
HSS 4 x 0.625,4.000,2.750,0.625,6.63,7.79,9.76,4.88,7.20,1.21,18.9,2.7
HSS 4 x 0.75,4.000,2.500,0.750,7.66,9.01,10.6,5.32,8.06,1.18,20.2,2.2
HSS 4.25 x 0.125,4.250,4.000,0.125,1.62,1.90,3.45,1.62,2.13,1.46,6.89,16.5
HSS 4.25 x 0.25,4.250,3.750,0.250,3.14,3.69,6.31,2.97,4.01,1.42,12.6,8.0
HSS 4.25 x 0.375,4.250,3.500,0.375,4.57,5.37,8.65,4.07,5.65,1.38,17.1,5.2
HSS 4.25 x 0.5,4.250,3.250,0.500,5.89,6.93,10.5,4.96,7.07,1.34,20.7,3.8
HSS 4.5 x 0.125,4.500,4.250,0.125,1.72,2.02,4.11,1.83,2.39,1.55,8.22,17.5
HSS 4.5 x 0.188,4.500,4.124,0.188,2.55,2.99,5.93,2.64,3.50,1.53,11.8,11.5
HSS 4.5 x 0.25,4.500,4.000,0.250,3.34,3.93,7.56,3.36,4.52,1.51,15.1,8.5
HSS 4.5 x 0.312,4.500,3.876,0.312,4.10,4.83,9.05,4.02,5.48,1.48,18.0,6.7
HSS 4.5 x 0.375,4.500,3.750,0.375,4.86,5.71,10.4,4.63,6.40,1.46,20.7,5.5
HSS 4.5 x 0.5,4.500,3.500,0.500,6.28,7.39,12.8,5.67,8.04,1.43,25.1,4.0
HSS 4.5 x 0.625,4.500,3.250,0.625,7.61,8.95,14.7,6.51,9.47,1.39,28.6,3.1
HSS 4.5 x 0.75,4.500,3.000,0.750,8.84,10.4,16.2,7.18,10.7,1.35,31.1,2.5
HSS 4.5 x 1,4.500,2.500,1.000,11.0,12.9,18.2,8.09,12.6,1.29,33.7,1.8
HSS 4.75 x 0.125,4.750,4.500,0.125,1.82,2.14,4.86,2.05,2.67,1.64,9.71,18.5
HSS 4.75 x 0.188,4.750,4.374,0.188,2.69,3.17,7.02,2.96,3.91,1.61,14.0,12.1
HSS 4.75 x 0.25,4.750,4.250,0.250,3.53,4.16,8.97,3.78,5.07,1.59,17.9,9.0
HSS 4.75 x 0.375,4.750,4.000,0.375,5.15,6.06,12.4,5.23,7.20,1.55,24.7,5.8
HSS 4.75 x 0.5,4.750,3.750,0.500,6.68,7.85,15.3,6.43,9.07,1.51,30.1,4.3
HSS 5 x 0.125,5.000,4.750,0.125,1.91,2.25,5.69,2.28,2.97,1.72,11.4,19.5
HSS 5 x 0.188,5.000,4.624,0.188,2.84,3.34,8.24,3.30,4.36,1.70,16.5,12.8
HSS 5 x 0.25,5.000,4.500,0.250,3.73,4.39,10.6,4.22,5.65,1.68,21.0,9.5
HSS 5 x 0.312,5.000,4.376,0.312,4.60,5.40,12.7,5.07,6.87,1.66,25.2,7.5
HSS 5 x 0.375,5.000,4.250,0.375,5.45,6.41,14.7,5.87,8.04,1.64,29.1,6.2
HSS 5 x 0.5,5.000,4.000,0.500,7.07,8.31,18.1,7.25,10.2,1.60,35.8,4.5
HSS 5 x 0.625,5.000,3.750,0.625,8.59,10.1,21.0,8.39,12.0,1.56,41.1,3.5
HSS 5 x 0.75,5.000,3.500,0.750,10.0,11.8,23.3,9.33,13.7,1.53,45.2,2.8
HSS 5 x 1,5.000,3.000,1.000,12.6,14.8,26.7,10.7,16.3,1.46,50.3,2.0
HSS 5.5 x 0.125,5.500,5.250,0.125,2.11,2.48,7.63,2.77,3.61,1.90,15.2,21.5
HSS 5.5 x 0.188,5.500,5.124,0.188,3.14,3.69,11.1,4.03,5.31,1.88,22.1,14.1
HSS 5.5 x 0.25,5.500,5.000,0.250,4.12,4.85,14.2,5.18,6.90,1.86,28.4,10.5
HSS 5.5 x 0.375,5.500,4.750,0.375,6.04,7.10,19.9,7.25,9.87,1.82,39.6,6.8
HSS 5.5 x 0.5,5.500,4.500,0.500,7.85,9.24,24.8,9.01,12.5,1.78,49.1,5.0
HSS 5.5 x 0.75,5.500,4.000,0.750,11.2,13.2,32.4,11.8,17.1,1.70,63.1,3.2
HSS 5.5 x 1,5.500,3.500,1.000,14.1,16.6,37.6,13.7,20.6,1.63,71.6,2.3
HSS 6 x 0.125,6.000,5.750,0.125,2.31,2.71,9.96,3.32,4.32,2.08,19.9,23.5
HSS 6 x 0.188,6.000,5.624,0.188,3.43,4.04,14.5,4.84,6.35,2.06,29.0,15.5
HSS 6 x 0.25,6.000,5.500,0.250,4.52,5.31,18.7,6.23,8.27,2.03,37.3,11.5
HSS 6 x 0.312,6.000,5.376,0.312,5.58,6.56,22.6,7.54,10.1,2.01,45.1,9.1
HSS 6 x 0.375,6.000,5.250,0.375,6.63,7.79,26.3,8.78,11.9,1.99,52.4,7.5
HSS 6 x 0.5,6.000,5.000,0.500,8.64,10.2,32.9,11.0,15.2,1.95,65.3,5.5
HSS 6 x 0.625,6.000,4.750,0.625,10.6,12.4,38.6,12.9,18.1,1.91,76.2,4.3
HSS 6 x 0.75,6.000,4.500,0.750,12.4,14.5,43.5,14.5,20.8,1.88,85.2,3.5
HSS 6 x 1,6.000,4.000,1.000,15.7,18.5,51.1,17.0,25.3,1.80,98.2,2.5
HSS 6.5 x 0.25,6.500,6.000,0.250,4.91,5.77,24.0,7.39,9.77,2.21,47.9,12.5
HSS 6.5 x 0.375,6.500,5.750,0.375,7.22,8.49,34.0,10.5,14.1,2.17,67.7,8.2
HSS 6.5 x 0.5,6.500,5.500,0.500,9.42,11.1,42.7,13.1,18.0,2.13,84.8,6.0
HSS 6.5 x 0.75,6.500,5.000,0.750,13.5,15.9,56.9,17.5,24.9,2.05,112,3.8
HSS 6.75 x 0.5,6.750,5.750,0.500,9.82,11.5,48.2,14.3,19.6,2.22,95.9,6.3
HSS 6.75 x 0.75,6.750,5.250,0.750,14.1,16.6,64.6,19.1,27.1,2.14,127,4.0
