Size,Type,d,bf,tf,tw,R1,R2,d1,A,W,Ix,Sx,Zx,rx,Iy,Sy,Zy,ry,Cw,J
I 3 x 1.64,Aluminum Association,3,2.5,0.2,0.13,0.25,0.01,2.1,1.39,1.64,2.24,1.49,1.62,1.27,0.522,0.418,0.63,0.613,1.02,0.019
I 3 x 2.03,Aluminum Association,3,2.5,0.26,0.15,0.25,0.01,1.98,1.73,2.03,2.71,1.81,2.01,1.25,0.679,0.543,0.819,0.627,1.27,0.037
I 4 x 2.31,Aluminum Association,4,3,0.23,0.15,0.25,0.01,3.04,1.96,2.31,5.62,2.81,3.07,1.69,1.04,0.691,1.045,0.727,3.68,0.033
I 4 x 2.79,Aluminum Association,4,3,0.29,0.17,0.25,0.01,2.92,2.38,2.79,6.71,3.36,3.72,1.68,1.31,0.872,1.317,0.742,4.5,0.061
I 5 x 3.70,Aluminum Association,5,3.5,0.32,0.19,0.3,0.01,3.76,3.15,3.7,13.9,5.58,6.14,2.11,2.29,1.31,1.98,0.853,12.5,0.098
I 6 x 4.03,Aluminum Association,6,4,0.29,0.19,0.3,0.01,4.82,3.43,4.03,22,7.33,8.02,2.53,3.1,1.55,2.344,0.951,25.3,0.089
I 6 x 4.69,Aluminum Association,6,4,0.35,0.21,0.3,0.01,4.7,3.99,4.69,25.5,8.5,9.38,2.53,3.74,1.87,2.829,0.968,29.8,0.145
I 7 x 5.80,Aluminum Association,7,4.5,0.38,0.23,0.3,0.01,5.64,4.93,5.8,42.9,12.3,13.6,2.95,5.78,2.57,3.889,1.08,63.3,0.206
I 8 x 6.18,Aluminum Association,8,5,0.35,0.23,0.3,0.01,6.7,5.26,6.18,59.7,14.9,16.5,3.37,7.3,2.92,4.423,1.18,107,0.188
I 8 x 7.02,Aluminum Association,8,5,0.41,0.25,0.3,0.01,6.58,5.97,7.02,67.8,16.9,18.8,3.37,8.55,3.42,5.181,1.2,123,0.286
I 9 x 8.36,Aluminum Association,9,5.5,0.44,0.27,0.3,0.01,7.52,7.11,8.36,102,22.7,25.2,3.79,12.2,4.44,6.729,1.31,224,0.386
I 10 x 8.65,Aluminum Association,10,6,0.41,0.25,0.4,0.01,8.38,7.35,8.65,132,26.4,28.9,4.24,14.8,4.93,7.452,1.42,340,0.36
I 10 x 10.3,Aluminum Association,10,6,0.5,0.29,0.4,0.01,8.2,8.75,10.3,156,31.2,34.4,4.22,18,6.01,9.095,1.44,407,0.62
I 12 x 11.7,Aluminum Association,12,7,0.47,0.29,0.4,0.01,10.26,9.92,11.7,256,42.6,46.8,5.07,26.9,7.69,11.631,1.65,894,0.621
I 12 x 14.3,Aluminum Association,12,7,0.62,0.31,0.4,0.01,9.96,12.2,14.3,317,52.9,58.4,5.11,35.5,10.1,15.319,1.71,1149,1.26
I 14 x 16.0,Aluminum Association,14,8,0.6,0.3,0.4,0.01,12,13.6,16,489,69.9,76.6,6,51.2,12.8,19.344,1.94,2300,1.31
WF 2 x 1.43,Wide Flange Beam,2,2,0.232,0.188,0.188,0.094,1.13,1.22,1.43,0.782,0.782,0.931,0.8,0.275,0.275,0.478,0.47,0.275,0.02
WF 4 x 4.76,Wide Flange Beam,4,4,0.37,0.313,0.313,0.145,2.38,4.05,4.76,10.8,5.4,6.204,1.63,3.52,1.76,3.04,0.93,14.1,0.168
WF 5 x 6.49,Wide Flange Beam,5,5,0.415,0.313,0.313,0.165,3.38,5.52,6.49,23.9,9.58,10.87,2.08,7.73,3.09,5.29,1.18,48.3,0.281
WF 6 x 4.16,Wide Flange Beam,6,4,0.279,0.23,0.25,0,4.88,3.54,4.16,21.8,7.25,8.09,2.48,2.98,1.49,2.304,0.92,26.8,0.08
WF 6 x 5.40,Wide Flange Beam,6,6,0.269,0.24,0.25,0,4.88,4.59,5.4,30.2,10.1,11.04,2.56,9.69,3.23,4.921,1.45,87.2,0.103
WF 6 x 7.85,Wide Flange Beam,6,5.93,0.451,0.25,0.313,0.18,4.38,6.68,7.85,44.3,14.8,16.46,2.57,14,4.67,8.009,1.45,126,0.389
WF 6 x 8.30,Wide Flange Beam,6,6,0.451,0.313,0.313,0.18,4.38,7.06,8.3,45.4,15.1,17.05,2.54,14.5,4.83,8.243,1.43,131,0.419
WF 6 x 9.18,Wide Flange Beam,6,6.13,0.451,0.438,0.313,0.18,4.38,7.81,9.18,47.6,15.9,18.19,2.47,15.5,5.16,8.718,1.41,140,0.518
WF 8 x 5.90,Wide Flange Beam,8,5.25,0.308,0.23,0.32,0,6.75,5.02,5.9,56.7,14.2,15.57,3.36,7.44,2.83,4.342,1.22,119,0.132
WF 8 x 8.32,Wide Flange Beam,8,6.5,0.398,0.245,0.4,0,6.38,7.08,8.32,84.2,21,22.85,3.44,18.2,5.61,8.516,1.61,291,0.309
WF 8 x 10.7,Wide Flange Beam,8,8,0.433,0.288,0.4,0,6.38,9.12,10.7,110,27.4,29.88,3.47,37,9.24,14,2.01,592,0.49
WF 8 x 11.2,Wide Flange Beam,8,7.94,0.458,0.313,0.313,0.179,6.25,9.55,11.2,113,28.3,31.35,3.45,33.9,8.47,14.61,1.88,542,0.581
WF 8 x 11.8,Wide Flange Beam,8,8,0.458,0.375,0.313,0.179,6.25,10.1,11.8,116,29,32.34,3.4,34.7,8.68,14.91,1.86,555,0.637
WF 8 x 13.0,Wide Flange Beam,8,8.13,0.458,0.5,0.313,0.179,6.25,11.1,13,121,30.3,34.36,3.31,36.5,9.13,15.58,1.82,584,0.816
WF 10 x 11.4,Wide Flange Beam,9.75,7.964,0.433,0.292,0.5,0,7.88,9.71,11.4,171,35.1,37.89,4.2,36.5,9.16,13.92,1.94,867,0.505
WF 10 x 7.30,Wide Flange Beam,9.9,5.75,0.34,0.24,0.312,0,8.56,6.21,7.3,107,21.6,23.79,4.15,10.8,3.75,5.75,1.32,265,0.193
WF 12 x 13.8,Wide Flange Beam,11.94,8,0.516,0.294,0.6,0,9.69,11.8,13.8,310,51.9,55.9,5.13,44.1,11,16.75,1.94,1572,0.825
WF 12 x 18.3,Wide Flange Beam,12.06,10,0.576,0.345,0.6,0,9.69,15.6,18.3,426,70.7,76.41,5.23,96.1,19.2,29.12,2.48,3494,1.423
WF(A-N) 2 x 0.928,Army-Navy Series,2.5,2,0.125,0.125,0.156,0.125,2,0.789,0.928,0.831,0.665,0.752,1.03,0.155,0.155,0.259,0.443,0.235,0.004
WF(A-N) 3 x 0.769,Army-Navy Series,3,2,0.094,0.094,0.156,0.094,2.5,0.654,0.769,0.992,0.661,0.732,1.23,0.118,0.118,0.194,0.426,0.265,0.002
WF(A-N) 3 x 1.00,Army-Navy Series,3,2,0.125,0.125,0.156,0.125,2.5,0.851,1,1.26,0.841,0.955,1.22,0.155,0.155,0.261,0.426,0.344,0.004
WF(A-N) 4 x 1.14,Army-Navy Series,4,2,0.125,0.125,0.125,0.125,3.5,0.969,1.14,2.42,1.21,1.408,1.58,0.155,0.155,0.265,0.4,0.626,0.005
WF(A-N) 4 x 1.79,Army-Navy Series,4,3,0.156,0.156,0.188,0.156,3.25,1.52,1.79,4.14,2.07,2.329,1.65,0.659,0.439,0.724,0.658,2.59,0.012
WF(A-N) 4 x 2.35,Army-Navy Series,4,3.5,0.188,0.188,0.188,0.188,3.25,2,2.35,5.52,2.76,3.126,1.66,1.26,0.719,1.184,0.793,4.88,0.024
WF(A-N) 4 x 3.06,Army-Navy Series,4,3.5,0.25,0.25,0.188,0.25,3,2.6,3.06,6.97,3.48,4.047,1.64,1.64,0.936,1.586,0.793,6.28,0.055
WF(A-N) 4 x 4.14,Army-Navy Series,4,4,0.312,0.312,0.25,0.312,2.75,3.52,4.14,9.39,4.7,5.492,1.63,3.03,1.51,2.578,0.927,11.3,0.115
WF(A-N) 5 x 5.36,Army-Navy Series,5,5,0.312,0.312,0.312,0.125,3.75,4.56,5.36,19.7,7.86,8.807,2.08,6.43,2.57,4.006,1.19,35.7,0.146
S 3 x 1.96,American Standard,3,2.33,0.26,0.17,0.27,0.1,1.75,1.67,1.96,2.52,1.68,1.921,1.23,0.46,0.39,0.724,0.52,1.04,0.031
S 3 x 2.59,American Standard,3,2.509,0.26,0.349,0.27,0.1,1.75,2.21,2.59,2.93,1.95,2.324,1.15,0.59,0.47,0.894,0.52,1.33,0.065
S 4 x 2.64,American Standard,4,2.66,0.293,0.19,0.29,0.11,2.75,2.25,2.64,6.06,3.03,3.443,1.64,0.76,0.57,1.067,0.58,3.04,0.052
S 4 x 3.28,American Standard,4,2.796,0.293,0.326,0.29,0.11,2.75,2.79,3.28,6.79,3.39,3.987,1.56,0.9,0.65,1.236,0.57,3.6,0.086
S 5 x 3.43,American Standard,5,3,0.326,0.21,0.31,0.13,3.5,2.92,3.43,12.3,4.9,5.564,2.05,1.21,0.81,1.515,0.64,7.56,0.083
S 5 x 4.23,American Standard,5,3.137,0.326,0.347,0.31,0.13,3.5,3.6,4.23,13.7,5.48,6.42,1.95,1.41,0.9,1.735,0.63,8.81,0.133
S 5 x 5.10,American Standard,5,3.284,0.326,0.494,0.31,0.13,3.5,4.34,5.1,15.2,6.09,7.339,1.87,1.66,1.01,2.023,0.62,10.4,0.251
S 6 x 4.30,American Standard,6,3.33,0.359,0.23,0.33,0.14,4.5,3.66,4.3,22.1,7.36,8.348,2.46,1.82,1.09,2.06,0.71,16.4,0.124
S 6 x 5.10,American Standard,6,3.443,0.359,0.343,0.33,0.14,4.5,4.34,5.1,24.1,8.04,9.365,2.36,2.04,1.19,2.283,0.69,18.4,0.177
S 6 x 5.96,American Standard,6,3.565,0.359,0.465,0.33,0.14,4.5,5.07,5.96,26.3,8.77,10.46,2.28,2.31,1.3,2.567,0.68,20.8,0.287
S 7 x 6.05,American Standard,7,3.755,0.392,0.345,0.35,0.15,5.25,5.15,6.05,39.4,11.3,13.06,2.77,2.88,1.53,2.949,0.75,35.3,0.236
S 8 x 6.35,American Standard,8,4,0.425,0.27,0.37,0.16,6.25,5.4,6.35,57.6,14.4,16.33,3.27,3.73,1.86,3.53,0.83,59.7,0.252
S 8 x 7.96,American Standard,8,4.171,0.425,0.441,0.37,0.16,6.25,6.77,7.96,64.9,16.2,19.06,3.1,4.31,2.07,4.045,0.8,69,0.418
S 8 x 8.81,American Standard,8,4.262,0.425,0.532,0.37,0.16,6.25,7.49,8.81,68.7,17.2,20.52,3.03,4.66,2.19,4.366,0.79,74.6,0.577
S 9 x 7.51,American Standard,9,4.33,0.458,0.29,0.39,0.17,7,6.38,7.51,85.9,19.1,21.68,3.67,5.09,2.35,4.463,0.89,103,0.343
S 10 x 8.76,American Standard,10,4.66,0.491,0.31,0.41,0.19,8,7.45,8.76,123,24.5,28.06,4.07,6.78,2.91,5.548,0.95,170,0.457
S 10 x 10.4,American Standard,10,4.797,0.491,0.447,0.41,0.19,8,8.82,10.4,135,27,31.48,3.91,7.5,3.13,6.1,0.92,188,0.647
S 10 x 12.1,American Standard,10,4.944,0.491,0.594,0.41,0.19,8,10.3,12.1,147,29.4,35.16,3.78,8.36,3.38,6.796,0.9,209,1.02
S 12 x 11.0,American Standard,12,5,0.544,0.35,0.45,0.21,9.75,9.35,11,218,36.4,41.58,4.83,9.35,3.74,7.134,1,337,0.693
S 12 x 12.1,American Standard,12,5.078,0.544,0.428,0.45,0.21,9.75,10.3,12.1,229,38.2,44.39,4.72,9.87,3.89,7.514,0.98,355,0.83
S 12 x 14.1,American Standard,12,5.25,0.66,0.46,0.56,0.28,9.25,12,14.1,272,45.4,52.41,4.77,13.5,5.16,9.661,1.06,486,1.353
S 12 x 15.6,American Standard,12,5.355,0.66,0.565,0.56,0.28,9.25,13.2,15.6,287,47.9,56.19,4.66,14.5,5.42,10.315,1.05,522,1.668
S 12 x 17.3,American Standard,12,5.477,0.66,0.687,0.56,0.28,9.25,14.7,17.3,305,50.8,60.58,4.56,15.7,5.74,11.159,1.03,565,2.204
